Id,Deck,Name,Text,Version
40125,喬佛里•拜拉席恩，喬佛里一世,我才是國王!,"**當敵方單位執行近戰攻擊，攻擊擲投擲後：**
 
標記防守者。
防守者格擋＋２點命中。

該次攻擊完成後，
防守者承受**恐慌**與**力竭**。",2021
40126,亞當•馬爾布蘭，都城守備隊長,魅力型領導,"**當友方單位被標記作為敵方號令、ＮＣＵ，或戰術區域對象時，結算該效果前:**

該單位執行１次士氣檢測。
若成功，取消該號令、ＮＣＵ，或戰術區域的效果。

若他們在亞當•馬爾布蘭的單位短距離範圍內，
獲得該次士氣檢測投擲結果＋２。",2021
40127,亞當•馬爾布蘭，都城守備隊長,猛烈回擊,"**當敵方單位完成近戰攻擊後：**

若防守者沒有被殲滅，則攻擊者依據防守者已被殲滅的排數承受２點傷害。

若防守者是亞當•馬爾布蘭的
單位，
攻擊者還會承受**恐慌**。",2021
40128,亞當•馬爾布蘭，都城守備隊長,英勇典範,"**當亞當•馬爾布蘭的單位通過士氣檢測時:**

所有長距離內的其他友方單位回復１點傷害，依據亞當單位的折損排數回復＋１點傷害。

接著，
亞當的單位回復2點傷害。/

**任意輪次開始時：**

抽取１張戰術卡",2021
40129,凱馮•蘭尼斯特，全境守護者,料敵先機,"**此回合的第一個敵方輪次開始時：**
標記１個敵方戰鬥單位以及１個敵方ＮＣＵ。若其中一者在此輪次中有執行行動，在他們結算行動前，１個友方戰鬥單位執行１次攻擊、佈陣，或是撤退行動。",S04
40130,凱馮•蘭尼斯特，全境守護者,發現破綻,"**當敵方單位完成行動後：**

該敵方單位承受**脆弱**和**恐慌**。

將此卡附屬到該敵方單位上，
直至此回合結束。

附屬期間，
當凱馮•蘭尼斯特的單位攻擊該敵方單位時，
該敵方單位失去所有能力，
同時不能作為友方的戰術卡的
標記對象。",2021
40131,凱馮•蘭尼斯特，全境守護者,凱岩鉅富,"**當敵方單位執行攻擊，**
**攻擊骰投擲後：**

標記該防守者。

若你控制[CROWN]，防守者獲得該次恐慌檢測擲骰結果＋２。

若你控制[MONEY]，防守者獲得防禦骰投擲結果＋１。

若標記的是凱馮•蘭尼斯特的
單位，你視作控制２個區域。",2021
40201,史塔克核心卡組,凜冬之力,"**當友方單位執行近戰攻擊，
攻擊骰投擲前：**

該次攻擊獲得**破甲**，

若該單位僅剩１排，
該單位可以重擲任意攻擊骰。

若你控制[SWORDS]，
該次攻擊可以投擲最高骰數。",2021-S01
40202,史塔克核心卡組,北境勇悍,"**當友方單位執行近戰攻擊，
攻擊擲骰前：**

該次攻擊獲得**兇狠**。

若該單位僅剩１排，
且防守者未能通過恐慌檢測，
防守者承受＋２點傷害。

若你控制[SWORDS]，
防守者還會承受**恐慌**。",2021-S01
40203,史塔克核心卡組,毀滅衝擊,"**當友方單位執行衝鋒行動，衝鋒距離骰投擲後：**

被成功衝鋒的敵方單位承受**恐慌**和**脆弱**。

若你控制[HORSE]，該單位可以重擲任意衝鋒距離骰。",2021-S03
40204,史塔克核心卡組,北境不忘,"**任意輪次開始時：**

標記１個友方戰鬥單位，並將此卡附屬於該單位上，直至此局遊戲結束。當友方步兵或騎兵單位被殲滅時，放置１枚號令標記在此卡上。

當此卡擁有號令標記時，此卡附屬的單位總是可以用最高骰數進行攻擊，而當你控制[SWORDS]時，獲得命中結果+1。",2021-S03
40205,史塔克核心卡組,凜冬將至,"**當友方單位執行衝鋒行動，衝鋒距離骰投擲前：**

選擇1項。若你控制[HORSE]，則獲得2項:

•被此單位成功衝鋒的敵方單位此輪次不能夠作為友方號令和戰術卡的目標對象。

•攻擊者的此次攻擊可以投擲最高骰數。",2021-S03
40206,史塔克核心卡組,迅速就位,"**任意輪次開始時：**

標記１個友方戰鬥單位。
該單位可以位移２吋。

若你控制[HORSE]，該單位則可以執行１次３吋的佈陣行動。",2021
40207,史塔克核心卡組,強襲號令,"**當友方ＮＣＵ宣告戰術區域時：**

將該戰術區域效果改成：

*１個友方戰鬥單位執行１次近戰攻擊行動。*

*若該NCU是宣告[SWORDS]，
該戰鬥單位可以改為執行
１次衝鋒行動。*",2021
40208,羅柏•史塔克，狼王,驟然撤退,"**當敵方單位完成近戰攻擊後：**

選擇該防禦者。
他們執行１次撤退行動。
若標記的是羅柏•史塔克的單位，可以重擲任意撤退距離骰。",2021
40209,羅柏•史塔克，狼王,地利優勢,"**當敵方單位執行衝鋒行動，
結算該行動前：**

若該敵方單位是朝單位的正面
衝鋒，
則該衝鋒距離骰擲出３或以下的結果皆視為散漫衝鋒。

若該次衝鋒為散漫衝鋒，
該單位承受**脆弱**。",2021
40210,羅柏•史塔克，狼王,打帶跑,"**當友方單位完成近戰攻擊後：**

該單位執行１次撤退行動。

若標記的是羅柏的單位，與他們脫離交戰的敵方單位承受**力竭**。",2021-S03
40211,大瓊恩•安柏，最後壁爐堡伯爵,狂戰士戰術,"**當友方單位執行近戰攻擊，
攻擊骰投擲後：**

若攻擊者是安柏家族的單位，
防守者承受**恐慌**。

此單位承受至多＋３點傷害。
若此單位承受任意點傷害，防守者承受１＋同等數值的傷害。",2021-S01
40212,大瓊恩•安柏，最後壁爐堡伯爵,猛烈回擊,"**當敵方單位完成近戰攻擊後：**

若防守者沒有被殲滅，
則攻擊者依據防守者已被殲滅的排數承受２點傷害。

若防守者是安柏家族的單位，
攻擊者還會承受**恐慌**。",2021
40213,大瓊恩•安柏，最後壁爐堡伯爵,背水一戰,"**當友方單位被殲滅時：**

該單位移除前，
該單位可以用最高骰數執行１次近戰攻擊行動。

若標記的是安柏家族的單位，
還可以重擲任意攻擊骰。",2021
40214,布林登•徒利，黑魚,戒備衝鋒,"**當友方單位遭受衝鋒，在攻擊單位近戰攻擊行動結算前：**

若該友方單位未與其他敵方單位接戰，且本次衝鋒接戰在正面或側翼，該友方單位可以在攻擊單位近戰攻擊行動結算前對其執行１次近戰攻擊。",2021
40215,布林登•徒利，黑魚,拒絕屈服,"**當友方單位通過恐慌檢測時：**

所有與之交戰的敵方單位承受
**脆弱**。
將此卡附屬至該單位上，
直至其恐慌檢測失敗。

附屬期間，每當此單位通過恐慌檢測，所有交戰的敵方單位承受**脆弱**。

若此卡附屬在徒利家族單位，其獲得恐慌檢測投擲結果＋１。",2021
40216,布林登•徒利，黑魚,戰吼,"**當友方戰鬥單位啟動時：**

該單位執行１次士氣檢測。

若成功，標記１個長距離範圍內的敵方單位。該單位承受**恐慌**或**脆弱**。

若執行檢測的是布林登的單位，若成功，該單位則是承受**恐慌**和**脆弱**。",2021-S03
40217,艾德•史塔克，臨冬城公爵,北境頑抗,"**當友方單位執行恐慌檢測，
擲骰後：**

該單位可以重擲此次檢測的任意骰子。

若該單位在艾德史塔克的短距離內，他們可以直接通過此次
檢測。
若標記是艾德•史塔克的單位，則標記１個與之交戰的敵方單位。
該單位承受１點傷害，並依據此單位已被殲滅的排數＋１點傷害。",2021
40218,艾德•史塔克，臨冬城公爵,以身作則,"**艾德•史塔克的單位完成攻擊後：**

將此卡附屬在長距離內的另一個友方單位直至此回合結束。
附屬期間，該單位獲得士氣檢測投擲結果＋２，且獲得近戰攻擊命中結果＋１。/

**友方輪次開始時：**

抽取１張戰術卡。",2021
40219,艾德•史塔克，臨冬城公爵,逝者的怒火,"**當敵方單位完成近戰攻擊後：**

標記艾德•史塔克的單位。
該單位執行１次攻擊或衝鋒行動。
若防守者被殲滅，艾德的單位可以重擲任意攻擊骰與衝鋒距離骰。/

**友方輪次開始時：**

抽取１張戰術卡。",2021
40220,羅德利克•凱索，軍隊教頭,卓越戰技,"**當敵方單位作為能力或戰術卡
目標對象時：**

你可以從該敵方單位消費1枚
狀態標記。
若你如此做，
取消該能力或是戰術卡的效果。/

**友方輪次開始時：**

標記１個處於交戰狀態的友方
戰鬥單位。
移除該單位的１枚狀態標記。",2021
40221,羅德利克•凱索，軍隊教頭,武力優勢,"**當敵方單位執行近戰攻擊，攻擊骰投擲前：**

攻擊者依據每個未命中承受1點傷害。若防守者是羅德利克的單位，該次攻擊還會承受命中結果－１。",2021-S03
40222,羅德利克•凱索，軍隊教頭,掌控優勢,"**當友方單位執行攻擊，攻擊骰投擲前：**

選擇1項。依據防守者擁有的每個狀態標記，選擇+1項：

•此次攻擊可以用最高骰數進行攻擊。

•此次攻擊命中結果＋１。

•防守者失去所有能力，且不可以成為友方的號令或戰術卡對象，直至該輪次結束。",2021-S03
40223,霍蘭•黎德，澤地領主,澤地陷阱,"**當敵方單位啟動時：**

若該敵方單位在友方澤地人單位的長距離範圍內，該單位此輪次承受－１ [MOVEMENT]。

若該單位宣告佈陣、行軍或撤退行動，該單位視作穿越有危險關鍵字的地形。",2021-S03
40224,霍蘭•黎德，澤地領主,沼澤惡魔的伏擊,"**當敵方單位啟動時：**

選擇１項：

•若該敵方單位在友方澤地人單位的長距離範圍內，
該敵方單位承受**力竭**。

•標記長距離範圍內１個未啟動的友方澤地人單位，該單位對該敵方單位執行１次遠程攻擊行動。",2021
40225,霍蘭•黎德，澤地領主,無形的威脅,"**任意輪次開始時：**

標記１個敵方戰鬥單位。

若該單位長距離範圍內有１個未交戰的友方澤地人單位，該敵方單位承受**恐慌**，接著承受１次恐慌檢測。",2021-S03
40226,布林登•徒利，先鋒指揮官,騎乘攻擊,"**當友方騎兵單位啟動並選擇行動時，在行動結算前：**

作為此次行動，
該單位可以轉向並執行１次行軍行動，接戰狀態下亦可。
此次行軍中可以穿越敵方單位。
脫離交戰的敵方單位不能執行轉向。

完成此次行軍後，
１個被穿越的敵方單位承受１點傷害，
並依據該敵方單位剩餘排數造成＋１點傷害。",2021
40227,布林登•徒利，先鋒指揮官,衝垮他們!,"**當敵方單位結束佈陣、行軍或
撤退行動時：**

選擇該敵方單位長距離範圍內可以衝鋒到他的１個友方騎兵單位。

該友方單位對該敵方單位執行１次衝鋒行動。若衝鋒成功，替代近戰攻擊，該敵方單位承受**恐慌**且依據此單位每剩餘排數承受２點命中。",2021
40228,布林登•徒利，先鋒指揮官,重整軍勢,"**當友方未交戰的騎兵單位
啟動時：**

此輪次１次，
若該單位將執行佈陣行動，可以將該次行動改為恢復３點傷害，
並且移除１枚狀態標記，
而不是執行佈陣行動。",2021
40229,瑞卡德•卡史塔克，卡霍城伯爵,嘲諷,"**當敵方戰鬥單位啟動時：**

標記長距離範圍內的１個友方單位。

若該敵方單位可以攻擊或衝鋒被標記的單位，但此輪次宣告了攻擊或衝鋒該單位以外的其他行動，執行行動前，該敵方承受**脆弱**和**力竭**。",2021-S03
40230,瑞卡德•卡史塔克，卡霍城伯爵,復仇的慾望,"**任意回合開始時：**

標記１個友方戰鬥單位。
該單位執行１次攻擊行動。

若標記的是卡史塔克家族的單位，獲得命中結果+1。

攻擊完成後，
你的對手可以啟動１個ＮＣＵ。",2021
40231,瑞卡德•卡史塔克，卡霍城伯爵,卡史塔克的懲戒,"**當敵方單位執行攻擊行動，
攻擊骰投擲前：**

若攻擊的單位是卡史塔克家族單位，將此卡附屬到該敵方單位上直至遊戲結束。
否則將此卡附屬到該單位上直至該回合結束。

附屬期間，
每當此單位完成攻擊，他們都會承受**脆弱**。
每當此單位有１排被殲滅，
與之交戰的１個單位會恢復２點傷害。",2021
40232,梅姬•莫爾蒙，熊島女爵,昂首屹立!,"**友方輪次開始時：**

將此卡附屬到1個友方單位直至此局遊戲結束。

附屬期間，當此單位將要被殲滅時，你可以棄置此卡。若你如此做，此單位不會被殲滅而是剩餘１點傷害。",2021-S03
40233,梅姬•莫爾蒙，熊島女爵,熊島的支援,"**友方輪次開始時：**

標記1個友方戰鬥單位。
該單位承受至多３點傷害。

恢復長距離範圍內
另1個友方單位１＋等同的傷害。

若標記的是莫爾蒙家族單位，
同時標記１個與友方單位交戰的敵方單位。
他們承受**力竭**。",2021
40234,梅姬•莫爾蒙，熊島女爵,持續攻擊,"**當友方單位執行近戰攻擊，攻擊骰投擲前：**

若此單位在此輪次開始時與防守者接戰，此單位可以用最高骰數攻擊。若標記的是梅姬的單位，還可以重擲任意攻擊骰。",2021-S03
40301,自由民核心卡組,重整旗鼓,"**友方輪次開始時：**

選擇長距離範圍內的２個
友方步兵單位。
從其中1個單位處移除至多４個模型。然後另一個單位恢
復與移除數量等量的傷害。
接著你可以從其中一個單位將１個附屬移動至另一個單
位處*（更換１個普通模型，並遵
循常規的附屬限制）*，或這２
個單位互換各自的附屬。",2021
40302,自由民核心卡組,協同戰術,"**任意輪次開始時：**

標記彼此短距離內的２個友方
步兵單位。

直至此輪次結束，
該單位彼此獲得對方的所有非先天能力。

你可以從兩者中立即觸發１個未使用過的「輪次開始時」時機的號令。",2021-S02
40303,自由民核心卡組,為數眾多,"**當敵方執行恐慌檢測時，
擲骰前：**

依據短距離內每個你的友方單位，
該敵方單位承受投擲結果－１，
至多－３點。",2021-S02
40304,自由民核心卡組,牽制戰術,"**當敵方單位完成近戰攻擊後:**

標記防守者長距離範圍內的
另一個友方單位。

該單位執行１次佈陣行動。",2021
40305,自由民核心卡組,壓制強襲,"**當友方單位執行近戰攻擊，
攻擊骰投擲前：**

依據與防守者交戰的友方單位數量，選擇１項：

•該次攻擊可以重擲任意攻擊骰。

•該次攻擊獲得**致命一擊**。

•該次攻擊獲得**破甲**。",2021
40306,自由民核心卡組,孤立包圍,"**任意輪次開始時：**

標記１個敵方單位。
從第一個之後，依據該單位短距離內每個你的
友方單位，
該敵方單位承受１個狀態標記。",2021
40307,自由民核心卡組,無盡部落,"**任意輪次開始時：**

標記1個友方步兵單位並將此卡附加到該單位上直至此局遊戲結束。
當此單位被殲滅時，在友方部屬區域的長距離範圍內放置１個附屬了掠奪者領隊且未啟動的自由民掠奪者單位。",2021-S02
40308,托蒙德 巨人剋星，雷拳,疾風侵略,"**當友方單位執行衝鋒行動時，
衝鋒距離骰投擲前：**

該次衝鋒距離骰投擲結果視作６，
同時該次近戰攻擊獲得
**致命一擊**。

攻擊完成後，
除非該攻擊者是托蒙德的單位，
該單位承受**脆弱**。",2021
40309,托蒙德 巨人剋星，雷拳,強襲反擊,"**當敵方單位完成近戰攻擊後：**

標記防守者之外的另一個友方
戰鬥單位。
該單位可以對攻擊者
執行１次攻擊或衝鋒行動。

若標記的是托蒙德的單位，
該次行動中還可以重擲任意
攻擊骰和衝鋒距離骰。",2021
40310,托蒙德 巨人剋星，雷拳,毀滅衝擊,"**當友方單位執行衝鋒行動，衝鋒距離骰投擲後：**

被成功衝鋒的敵方單位承受**恐慌**和**脆弱**。

若標記的是托蒙德的單位，該單位可以重擲任意衝鋒距離骰。",2021-S03
40311,曼斯•雷德，塞外之王,野人外交,"**當敵方ＮＣＵ啟動時：**

若該ＮＣＵ在此輪有宣告戰術區域，
在結算該戰術區域效果之前或是之後，
標記１個敵方戰鬥單位，
該單位承受１枚狀態標記。

接著標記１個敵方戰鬥單位，該單位承受Ｄ３＋１點傷害。",2021
40312,曼斯•雷德，塞外之王,料敵先機,"**此回合的第一個敵方輪次開始時：**
標記1個敵方戰鬥單位以及１個敵方ＮＣＵ。若其中一者在此輪次中有執行行動，在他們結算行動前，１個友方戰鬥單位執行１次攻擊、佈陣，或是撤退行動。",S04
40313,曼斯•雷德，塞外之王,深謀遠慮,"**任意輪次結束時，
若你的對手有控制[LETTER]：**

從你的戰術卡堆中選取１張戰術卡加入手中，洗勻你的戰術卡堆。/

**回合結束時：**

從你的戰術卡堆中選取１張戰術卡加入手中，
洗勻你的戰術卡堆。/

**任意輪次結束時：**

抽取１張戰術卡。",2021
40314,響骨衣，駭骨之王,血腥戰利品,"**當友方單位完成近戰攻擊後，
若有殲滅敵人任意排數：**

將此卡附屬到攻擊者短距離內
１個友方步兵或騎兵單位上。

所有與該單位接戰的敵人承受
**恐慌**。
當與此單位接戰的敵方單位執行行動，結算行動前，
該敵方單位承受**恐慌**。",2021
40315,響骨衣，駭骨之王,武器戰利品,"**當友方單位完成近戰攻擊後，
若有殲滅敵人任意排數：**

將此卡附屬到攻擊者短距離內
１個友方步兵或騎兵單位上。

此卡附屬期間，
單位近戰攻擊獲得命中結果＋１。",2021
40316,響骨衣，駭骨之王,盔甲戰利品,"**當友方單位完成近戰攻擊後，
若有殲滅敵人任意排數：**

將此卡附屬到攻擊者短距離內
１個友方步兵或騎兵單位上。

此卡附屬期間，
單位獲得防禦骰投擲結果＋１。",2021
40317,哈瑪，先鋒指揮官,打帶跑,"**當友方單位完成近戰攻擊後：**

該單位執行１次撤退行動。

若標記的是哈瑪的單位，與他們脫離交戰的敵方單位承受**力竭**。",2021-S03
40318,哈瑪，先鋒指揮官,佯攻佈陣,"**當友方單位成功衝鋒時：**

若是與敵方正面交戰，
則將該單位移到敵方單位的任意側翼交戰。

若是與敵方側翼交戰，
則將該單位移到敵方單位的
背後交戰。",2021
40319,哈瑪，先鋒指揮官,迅速就位,"**任意輪次開始時：**

標記１個友方戰鬥單位。
該單位可以位移２吋。

若標記的是哈瑪的單位，該單位則可以執行１次３吋的佈陣行動。",2021
40320,哭泣者，駭人的屠夫,殘忍手段,"**任意輪次開始時：**

標記１個敵方戰鬥單位。
你可以從該單位上消耗１枚恐慌標記。
若你如此做，選擇２項：

•１個長距離內的步兵單位回復２點傷害。*（此項可以累加使用）*

•該敵方單位承受**脆弱**。

•該敵方單位承受**力竭**。",2021
40321,哭泣者，駭人的屠夫,失敗的代價,"**當友方單位執行近戰攻擊時，攻擊骰投擲前:**

此次攻擊的所有攻擊骰投擲結果皆視為命中。

此次攻擊結束後，若防守者沒有被殲滅，攻擊者承受**恐慌**和**脆弱**。",2021-S03
40322,哭泣者，駭人的屠夫,無情的範例,"**當友方單位完成近戰攻擊後：**

若此次攻擊有殲滅敵方任一排，
標記該單位長距離內的另１敵方單位。該單位承受**恐慌**。

若此次攻擊有殲滅敵方單位，同時在短距離內放置１個擁有
下述關鍵字的屍堆地形板塊，且不得與其他地形重疊。

•**阻礙**

•**嚴酷的提醒：**
短距離內的敵方單位承受士氣檢測投擲結果－１，且恐慌檢測失敗時承受＋１點傷害。",2021
40323,斯迪，瑟恩人的馬格拿,最後一擊,"**當敵方單位完成近戰攻擊時：**

防禦者每承受１點傷害，
攻擊者承受１點命中。

若防守者在斯迪單位的長距離範圍內，
該敵方單位在對抗此次命中時承受防禦擲骰投擲結果－１。",2021-S01
40324,斯迪，瑟恩人的馬格拿,瑟恩頑抗,"**當友方單位執行恐慌檢測，
擲骰後：**

該單位可以重擲此次檢測的任意骰子。
若該單位在斯迪的短距離範圍內，他們可以直接通過此次檢測。

若標記的是斯迪的單位，則標記１個與之交戰的敵方單位。
該單位承受１點傷害，並依據此單位已被殲滅的排數＋１點傷害。",2021
40325,斯迪，瑟恩人的馬格拿,斯迪的復仇,"**任意輪次開始時：**

標記１個友方戰鬥單位並將此卡附屬之，直至此局遊戲結束。

當友方單位被殲滅時，放置１枚號令標記到此卡上。

每當此卡擁有１枚標記，
附屬的單位獲得：
當此單位攻擊時，攻擊擲骰前，
防守者承受**脆弱**。",2021
40326,強壯的瑪格，瑪格•瑪茲•屯多•鐸爾•威格,毫不在乎,"**當友方生物單位執行行動，結算行動前：**

該單位可以將行動替換成：

*此單位回復至多３點傷害。*",2021
40327,強壯的瑪格，瑪格•瑪茲•屯多•鐸爾•威格,踐踏,"**當友方巨人單位執行衝鋒行動，
結算行動前：**
 
該單位可以將衝鋒行動替換成：
 
*將此單位轉向，接著移動１０吋，越過其他單位。
 若會覆蓋到其他單位，在其面前１吋位置停下。 
每個越過或是覆蓋到的非ＳＯＬＯ單位承受Ｄ３點傷害。*",2021
40328,強壯的瑪格，瑪格•瑪茲•屯多•鐸爾•威格,激怒,"**友方生物單位啟動時：**
 
該單位承受２點傷害。
 
直至該輪次結束，
該單位可以重擲任意攻擊骰，
且防守者承受**恐慌**。",2021
40329,強壯的瑪格，瑪格•瑪茲•屯多•鐸爾•威格,酋長的號令,"**強壯的瑪格啟動時：**
 
瑪格可以將他的行動替換成： 

*１個長距離內的友方巨人單位
執行１次行動。*/
**任意輪次開始時：**
 
抽取１張戰術卡。",2021
40330,強壯的瑪格，瑪格•瑪茲•屯多•鐸爾•威格,北境猛獸,"**當位於友方生物單位短距離內的敵方單位啟動時：**
 
該敵方單位承受１次恐慌檢測，
並依據短距離內友方的生物單位
承受投擲結果－１，至多－３。
 
若失敗，依據短距離內友方生物數量承受＋１點傷害，
至多＋３點傷害。",2021
40331,強壯的瑪格，瑪格•瑪茲•屯多•鐸爾•威格,最後的族類,"**當友方巨人單位被殲滅時：**
 
另１個友方巨人單位可以執行１次攻擊或衝鋒行動。",2021
40332,強壯的瑪格，瑪格•瑪茲•屯多•鐸爾•威格,無懼怒吼,"**當友方生物單位通過士氣檢測：** 

標記所有與之交戰的敵方單位。 
他們承受**力竭**。",2021
