Id,Translated Name,Attack 1,Attack 2,Requirement,Quote,Lore,Version
10205,史塔克长弓手,弓箭齐射,短剑,,,来自崎岖北方的猎人、伐木工和求生者经常以这样或那样的军事能力为他们的领主服务，但当发动战争时，他们总能为冰原狼旗下的部队提供比大多数阵营更多的熟练弓箭手兵源。史塔克家族的弓箭手虽然在近距离内威力不大，且在面对近身肉搏或骑兵突击时非常脆弱，但在远距离上他们却能牵制甚至彻底消灭敌人。,2021-S03
10206,徒利家族誓言盾卫,长剑,,,,身着精良盔甲的徒利家族誓言盾卫拥护着史塔克家族的旗帜，在战场上带来了优越的防御力量。他们几乎有能力抵御任何攻击，许多战斗都依赖于他们令人印象深刻的持续作战的能力。虽然不像其他进攻单位那么灵活，但誓言盾卫通常能够可靠地为快速冲向敌人的先头部队提供殿后。,2021
10207,夏天,尖牙与利爪,,*只能编入包含“布兰·史塔克”的军队中。*,,事情要从布兰·史塔克从临冬城的一座高塔上摔下来瘫痪说起。在他康复期间，夏天保护他免遭刺客的袭击，这更加深了史塔克家孩子与冰原狼之间的感情。阿多虽身材魁梧，力量巨大，但智力有限，却也足以成为小史塔克下床移动时可靠的“双腿”。在某种程度上，这三人组能够作为一个个体，一个忠诚、荣誉和智慧的存在。,2021
10208,安柏家族大斧手,刽子手之怒,,,,安柏大斧手将机动性、防御能力和可怕的武器装备结合在一起，使单位具有超强的灵活性。大斧手们追赶更强大的敌人，坚定地抵抗攻击，并使用他们标志性的武器造成毁灭性的打击。虽然作战没有任何章法可言，但经验丰富的指挥官可以根据需要部署他们，以弥补他们自身防御中暴露出来的弱点，或利用敌人的误判来打破僵局。,S04
10209,泽地人追踪者,泽地弓,追踪者之刃,,,泽地人追踪者向来都不是所谓的前线部队。轻型装备的追踪者在正式的交战中几乎没有胜算。尽管追踪者缺乏直接的伤害手段，但他们的速度和扰乱能力以及迷惑敌方阵型的能力弥补了这一点，同时他们还将速度与机动性和致命的游击战战术结合起来，以避免直接交战。,2021-S03
10210,毛毛狗,凶残撕咬,,角色: *只能编入包含“瑞肯·史塔克”的军队中.*,,在史塔克家的冰原狼中，毛毛狗被证明是最凶猛的。只要有人惹恼了它的主人小瑞肯·史塔克，它就会猛烈攻击。瑞肯孩子气的脾气和暴怒影响了毛毛狗，导致这只年幼的冰原狼也变得十分致命。而进入到武装冲突中，毛毛狗令人生畏的保护欲和野蛮本性就更是找到了撒欢的地方。想要威胁瑞肯，就先得过了它的尖牙和怒火这一关。,2021-S03
10212,艾德的荣誉护卫,凛冬的撕咬,,角色: *只能编入包含临冬城公爵艾德·史塔克的军队，艾德必须附加至本单位。*,,艾德·史塔克公爵的荣誉护卫是从史塔克家族自己的队伍中那些已经证明了他们是最正直的战士里挑选出来的。他们值得信赖，能打硬仗，也能坚守阵地，更能以暴制暴。他们中的每个人都愿意为自己的领主献出生命，一如艾德·史塔克公爵所做出的表率。人们可以相信荣誉护卫是史塔克军队中最强大的先锋部队。,2021-S03
10213,徒利家族骑士,骑枪,,,,徒利家族的骑士们武德丰沛，兵甲精良，速度极快，以其毁灭性的冲锋而闻名，甚至可以粉碎敌人最坚固的防线。他们仅凭一次未至的冲锋带来的威胁就足以迫使敌方指挥官做出反应，从而在无形中加大了敌方阵线的压力。明智的指挥官会让部队好好利用这一点，随时准备接手骑兵留下的混乱。,2021-S03
10214,莫尔蒙家族母熊,果断打击,,,,莫尔蒙家族的母熊们在亚莉珊·莫尔蒙的带领下，手持独特的装备，形成了她们独有的战术。她们都是女强人，以力量著称，穿着厚厚的皮革和盔甲。她们的武器是双手狼牙棒，能够在一次打击中粉碎沉重的头盔或胸甲。母熊们狂热地献身于莫尔蒙的事业，她们强大的决心使她们能够屹立不倒，在其他部队倒下的地方继续战斗。,S04
10215,卡史塔克家族长矛手,长矛,,,,对于冲锋的骑兵来说，最可怕的事情莫过于冲击身经百战的长矛兵构成的阵列——他们的盾牌紧锁，长矛齐平——更有甚者，是当他们的头顶还飘扬着白色日芒星旗帜的时候。卡史塔克家的长矛兵是战线脆弱侧翼的完美掩护，能够抵御骑兵最具破坏性的攻击。装备了厚重的锁甲和皮甲，他们能够有效抵御敌人的攻击，但并不适合作为前锋冲锋陷阵。,S04
10216,莫尔蒙家族壮士,钉锤与刺盾,,,,与大熊的家族纹章相符的是，这支俗称莫尔蒙壮士的部队战斗风格野蛮且无畏。他们的轻型装甲主要由填充皮革和轻型链条组成，使他们具有良好的机动性。对手最不愿意看到的就是这些灵活的侧翼部队。当遭受损失时，壮士只会变得更加危险，誓以血还血，经常也拖着他们的敌人同归于尽。,S04
10217,卡史塔克家族拥护者,连枷,,,,卡史塔克家族是史塔克家族最忠诚的封臣之一。当史塔克家族请求援助时，拥护者的军队会迅速集结并被派往战场。虽然他们的武备是连枷和盾牌，但他们更强大的武器是对自己事业的坚定信念。看似能让一个人倒下的伤口不会让他们感到困扰。他们会断然拒绝在数量上有优势的敌人面前撤退。,S04
10218,泽地人沼泽恶魔,涂毒的三叉戟,,,,泽地人沼泽恶魔是维斯特洛最可怕的伏击士兵之一。作为黎德家族的封臣，他们擅长融入沼泽地形中。他们的轻型盔甲使他们免于陷入他们选择的地形，而他们涂毒的三叉戟则使他们的敌人在痛苦中死去。沼泽恶魔一击即离，与灌木丛融为一体，除死者和垂死者外，不留一丝足迹。,2021
10219,安柏家族破坏者,刽子手的斧头,,,,安柏家族虽不以骑兵不出名，但他们的骑兵和维斯特洛的其他骑兵相比却也一样致命。破坏者不像一些骑兵一样拥有厚重的盔甲，但他们能携雷霆之怒进行打击。放任破坏者冲击侧翼或后方就意味着为招来迅速而可怕的死亡。他们速度快，效率高，适应性强。在依赖迅速打击与无情杀戮的北境军队中，他们是一支完美的部队。,2021
10301,巨人,狂暴挥击,,,,尽管大多数南方维斯特洛领主们一致认为长城外的巨人只是个神话，但守夜人可以证明，他们是真实存在的。这些巨大的生物不着片甲，挥舞着的武器也只是粗糙的猛犸象骨或大树干。然而，这对他们来说已经绰绰有余了。一个巨人能撂倒最重装的步兵，也几乎可以无视一队冲锋的骑士。只有以庞大的数量或强大的攻城武器才能打倒巨人。,2021-S01
10302,自由民布陷人,杂弓,粗糙的武器,,,自由民的狡诈足以弥补他们缺乏精巧装备带来的劣势。自由民布陷人用阻碍性的圈套和巧妙的陷阱来准备战场。尽管他们的目的不是杀人，这种战术偶尔也会造成很少的伤亡。骑兵部队必须小心行走，以免坐骑受苦，步兵则因为害怕同样的情况而缓慢前进。而在他们踌躇困顿的时候，布陷人会不停地向这些陷入困境中的部队射出箭雨。,2021-S01
10303,自由民掠袭者,粗糙的武器,,适应性: *此单位中1个附属的成本降低1。*,,自由民掠袭者几乎没有受过任何训练，装备的武器都是粗糙的骨头和钢铁，他们能够对抗维斯特洛先进的武器和盔甲的办法只有一个：人海战术。在南方面对掠袭者战帮袭扰的经历，使得大多数维斯特洛的指挥官对长城以北的自由民的人数几乎一无所知。的确，数量不足的话，他们也就和武装农民差不多。然而，在自由民的旗帜下，他们是一支军队。,2021-S03
10304,矛妇,投矛,长矛,,,在南方，战争主要是男人的事，而在北方，自由民的女人则完全有能力在战斗中和男人并肩作战。虽然不适合当前锋，但矛妇在进攻和防御方面都是出色的侧翼单位。她们的武器可能很粗糙，但胜在量大管够、造价低廉，而且矛妇投掷的武器也精准得要命。聪明的指挥官可以充分利用这种能力。,S04
10305,穴居野蛮人,疯狂挥棒,,,,虽然他们确实只装备了原始武器、毛皮和缠腰布，但别低估了穴居野蛮人的嗜血欲望，否则这种粗心大意会让这变成你最后一次巡逻。作为先锋部队，穴居野蛮人可能活不了多久，但在撕开敌人防线或侧翼突袭无保护的弓箭手方面，野蛮人却很擅长。当有人流血时，他们的残忍将无人能敌。,2021-S02
10306,旺旺,重拳出击,,,,如果要说有什么不同的话，旺旺甚至比他的首领强壮的玛格长得还要大只。旺旺拥有所有巨人共有的巨大力量和厚厚的皮毛，而刀枪不入的躯体和不寻常的战斗精神又使之如虎添翼。尽管旺旺可以轻松突破敌人最强大的防线，自由民的指挥官也应该步步为营，以免他一头扎进敌群并被乱刀捅死。,2021-S02
10307,骸骨追随者,锯齿武器,,,,虽然不属于任何特定的自由民派系，但骸骨追随者一直致力于为骸骨之王服务，实现他的战争野心。在战斗中，人们可能不会认为骨制武器和盔甲能对钢铁能有什么效果，但木柄上的野牛大颚骨即使是对一个穿着板甲的人也可以造成惊人的打击。对一个精明的指挥官来说，利用这些野蛮人在敌军中引起的恐慌是很有价值的。,2021-S03
10308,瑟恩勇士,青铜武器,,,,瑟恩勇士是自由民派出的最重型的常规部队。他们的青铜武器和盔甲都是自己亲手打造，而不是从守夜人军团偷来或者从战场上抢来的。自由民的指挥官必须牢记，哪怕是这些相对先进的北方人的武器，也无法与来自南方的精炼钢相抗衡。即便如此，瑟恩勇士算得上是擅长于守住自由民部队的中线了。,2021-S03
10309,冰封海岸战车,致命冲击,,,,人们通常不会把野人和战争器械联系起来，但冰封海岸战车的效果令人惊讶。战车由木头和骨头制成，由强大而凶猛的狼或杂交猎犬牵引，拉着两个人和各种各样的武器，不仅朝着敌人前进，还经常直接凿穿坚固的阵线。即便如此，使用它们也要谨慎，因为战车的主要弱点在于它陷入泥潭时。,2021-S02
10310,熊,野蛮重击,,*该模型仅由易形者能力所使用。*,,易形者能够进入野兽的思想并操纵它们行动，可以是隐蔽的，也可以是直观的。在战争中，易形者在战场上往往不以人类的形态来现身，而是经由他们控制的野兽来展现他们的意志，比如巨大的北方熊、冰原狼、影子山猫、猫头鹰或老鹰。虽然他们的动物可以被杀死，但这样并不足以击败易形者，因为北方并不缺乏凶猛、强大的生物。,2021
10311,骸骨之王的选民,锯齿武器,,角色: *只能编入包含“叮当衫”的军队，叮当衫必须附加至本单位。*,,骸骨之王的选民代表的是骸骨追随者中最强大、最野蛮的那类人。每个选民战士都会通过仪式战斗杀死他的前任来取代他的位置。新的选民战士的盔甲使用了他们前辈的骨头，同时也增加了动物骨头以提供更好的保护。骸骨之王的选民看起来只是野蛮人，但守夜人的老兵们常常警告他们的兄弟们，要小心这些敌人非凡的狡猾和惊人的武艺。,2021-S03
10312,战争猛犸,横冲直撞,,限制: *你的军队至多包含2队战争猛犸。*,,在战场上，战争猛犸向敌方阵地逼近是一种可怕的景象。它令人难以置信的力量与厚重的皮毛使它难以抵御。尽管世界上现存猛犸的数量已不足以组成一支真正的骑兵军团，巨人也曾以骑着猛犸参加战斗而闻名。但要记得，那些为主人而战的猛犸都是训练有素的。即使情况很少见，惊慌失措的猛犸象在战场上也不会是任何人的盟友。,2021-S01
10313,强壮的玛格,酋长之怒,,,,强壮的玛格有一个低调的头衔。作为巨人的首领，他可怕的力量带领他的人民一次又一次地取得胜利。即使是最厚重的装甲部队也无法与他的强大力量相抗衡，他的领导才能（如巨人所拥有的）在激烈的战斗中激励着他的同类。玛格很容易直接卷入争端，不过他应该小心。虽然很难打倒，但巨人也不能无视钢铁。,2021-S02
10314,强壮的玛格,酋长之怒,,,,强壮的玛格有一个低调的头衔。作为巨人的首领，他可怕的力量带领他的人民一次又一次地取得胜利。即使是最厚重的装甲部队也无法与他的强大力量相抗衡，他的领导才能（如巨人所拥有的）在激烈的战斗中激励着他的同类。玛格很容易直接卷入争端，不过他应该小心。虽然很难打倒，但巨人也不能无视钢铁。,2021
10315,冰封海岸战熊骑手,投矛,长矛与撕咬,,,生活在绝境长城以外腹地的白熊即使在熊类中也是体型庞大的那一类，站起来通常能有两个成年男性那么高，一身怪力能撕裂岩石与钢铁。只有野人才会想要去驯服这种野兽，并骑着它们上战场。作为“骑兵”，冰封海岸战熊骑手缓慢而笨拙，虽然不像普通的战马那样可以践踏敌人，但这些雪熊坐骑却能够咬合、撕裂和猛击。即使是披挂全身板甲的人也不可能是这样一头熊的对手。,S04
10316,波罗区的野猪,野猪獠牙,,*只能编入包含波罗区的军队。*,,不管波罗区在哪，他的野猪同伴都在他身边。这头野猪怪兽体型庞大，站立时有一头成年公牛那么高，长牙有人的手臂那么长。它厚厚的皮足以抵御最锋利的刀锋。在战斗中，它前后摆动巨大的头部，刺穿敌人，然后开始一顿可怕的盛宴。然而，如果波罗区退出战场，野猪肯定会跟随。,S04
10317,"六形人瓦拉米尔, 易形者大师",凶残撕咬,,,“我能飞至高墙之上，以鹰眼察看。”,在绝境长城以外最强大的易行者中，六形人同时指挥着一头巨大的雪熊、三头野狼、一只影子山猫和一头老鹰。在战斗中，他骑着大雪熊，指挥他的各种野兽进行协同攻击。没有任何东西能够逃脱他的鹰眼，又或者他影子山猫的耐心追踪。任何胆敢尝试靠近他的人都会面临野蛮般的殴打。或许你能击败单个生物，但瓦拉米尔将会找到来多。,2021-S03
10318,"六形人瓦拉米尔, 易形者大师",凶残撕咬,,,“我能飞至高墙之上，以鹰眼察看。”,在绝境长城以外最强大的易行者中，六形人同时指挥着一头巨大的雪熊、三头野狼、一只影子山猫和一头老鹰。在战斗中，他骑着大雪熊，指挥他的各种野兽进行协同攻击。没有任何东西能够逃脱他的鹰眼，又或者他影子山猫的耐心追踪。任何胆敢尝试靠近他的人都会面临野蛮般的殴打。或许你能击败单个生物，但瓦拉米尔将会找到来多。,S04
10319,影子山猫,爪击,,*只能编入包含六形人瓦拉米尔的军队中。*,,虽然单独的一只影子山猫无法对身披铠甲的单位造成太大的伤害，但这只影子山猫却拥有六形人瓦拉米尔的狡诈。与自由民大军和瓦拉米尔的其他猛兽一起行动时，他的影子山猫变成是一种强大又神出鬼没的威胁。即使没有六形人控制它的思想，他的影子山猫也是一名体型只有人类一半的优雅猫科捕食者。不过，一旦有了六行人的协助，它将变成及其可怕的武器。,2021
10320,狼群,围猎战术,,*只能编入包含六形人瓦拉米尔的军队中。*,,虽然不适用于正面战场，但由六形人瓦拉米尔所控制的狼群却是出色的侧翼袭扰者，堪称后方弓箭手和战争机械的真正梦魇。这群野兽原本只是普通的狼群，但被人类的意识所占据时，它们会像一个整体一样协同行动，能够运用围猎战术与自由民军队一同协调作战。由此，易形者们让人谈之色变又有什么好奇怪的？,2021
10321,冰封海岸猎人,鱼叉,鱼叉,,,海象氏族擅长在绝境长城以外遥远的北方荒地中狩猎。现在，他们带着自己的专业知识与自由民一起向南寻找更温暖的气候和更翠绿的牧场。他们的加重鱼叉非常适合刺穿凶猛的野兽和敌方士兵。他们独到的持续折磨式狩猎知识让他们能够保持灵活，并在不断的机动下从意想不到的角度攻击敌人的阵型。,S04
10322,巨人投矛手,巨人的长矛,巨人的长矛,,,还有什么情况能比在战列中迎击巨人更为糟糕呢？那自然是面对着从远处投掷树干般大小长矛的巨人。按照盟约，这些巨人投矛手加入战斗，使自由民获得了人间大炮。他们的武器很粗糙——但对于一个成人躯干那么粗的树柄来说，也不需要什么加工。话虽如此，这些巨人在近距离对付敌人时会变得困难，所以必须有人保护。,S04
10401,波顿家族割喉者,斩尽杀绝,,,,虽然只有简单的护甲和轻形军备，但波顿割喉者享有残忍和冷酷的恶名，这使得他们即使不使用更为精致的武器，也可以对敌人更有效地制造恐慌。他们的尖刺狼牙棒能够轻而易举地消灭敌人，但更重要的作用是展示残暴并给敌人带来恐惧。波顿割喉者会玩弄倒下的敌人，或者对敌人来说更糟糕的事情是，把他们囚禁起来，让他们遭受更加痛苦的命运。,2021-S01
10402,波顿家族混种母犬,跟踪者之弓,刀刃与尖牙,,,波顿家族的混种母犬们训练有素，长于追逼，甚至可以击败重步兵，最适合作为侧卫或逃跑的敌人的追捕者。虽然它们没有足够的盔甲来对抗直击，但中了它们训犬人箭伤的敌人却也只是它们的孱弱猎物。当它们捕获敌方指挥官后，拉姆斯·波顿开始他的战后“娱乐”，一笔丰厚的奖赏也就落到了它们训犬人的手中。,2021
10403,波顿家族无皮者,战争连枷,,,,在五王之战中，所谓的无皮者是最重型的骑兵之一，即使是最大的家族也会雇佣他们。他们有着厚重的钢甲（当然是黑的），厚重的盾牌，甚至还有为战马提供防护的马甲。超重型的武备让这些无皮者能够进行真正的毁灭性冲锋，并能在战线上坚持一段较短的时间。他们标志性的战争连枷使大多数防御只能起到微不足道的作用，但他们的恐怖面容仍然是他们最重要的武器。,2021-S02
10404,波顿家族黑护卫,钉刺链锤,,,,波顿家族黑护卫的冷酷残忍是每个面对过他们的敌人都知道的。他们凶残的尖刺链锤使重盾只能发挥出平庸的性能。作为波顿家族队伍中战力最为强大的步兵部队，黑护卫十分可靠，可以在战场上占据并坚守任何位置。,2021
10405,血戏班散兵,血戏班之刃,,,,尽管他们的外表令人发指，血戏班散兵仍然是一群以残忍而闻名的致命雇佣兵——即使对于雇佣兵来说，他们的残忍也有点过头了。他们只对钱币忠诚，且只要报酬到位，他们的队伍就能胜任军队所需要的任何角色。血戏班散兵装备轻装简甲，具有侧击奇袭所需的机动性，但也应受到更多的保护，避免正面交锋。,S04
10406,暴鸦团佣兵,长剑,,适应性: *此单位中1个附属的成本降低1。*,,虽然有人可能会质疑暴鸦团对其领导、雇主甚至自己的忠诚，但人们总是不会置疑他们对钱币的绝对忠诚。一旦有了适当的激励，暴鸦团佣兵就成为强有力的中型步兵，擅长侧翼防护或侧翼支援。只要饷钱充足，他们的专业精神就足以保证他们与雇主之间的良好工作关系。,S04
10407,暴鸦团弓箭手,佣兵的长弓,短剑,,,暴鸦团就是暴鸦团，无论是挥剑、拉弓，还是两者兼得。金钱仍然是暴鸦团的主要动力，而额外的金钱可以刺激这些佣兵付出更多的努力。暴鸦团弓箭手擅长远程作战，他们的反曲长弓和箭矢专为长程打击而设计。尽管他们的短剑可以勉强抵御攻击者，但他们并不适合近战。因此，一个明智的指挥官也会让他们远离侧翼威胁或骑兵。,S04
10408,血戏班斑马骑手,混杂的军备,,,,血戏班斑马骑手加入战斗，且从不缺乏灵感和天赋。这些不寻常的野兽起源于厄索斯——在那里，条纹动物和马杂交创造了这个物种。斑马可以长时间依靠少量的食物和水生存，但仍然像西方同行一样敏捷。斑马骑手在血戏班队伍中扮演一个典型的轻骑兵角色，主要负责包抄侧翼和冲锋被压制的单位和暴露的弓箭手。,2021-S03
10409,暴鸦团刀舞者,迅捷攻击,,,,每周结束时支付佣金，你就将获得一队久经沙场的暴鸦团刀舞者，擅长以中型装甲快速突进并打击暴露的敌人阵地——直到新一周周末的发薪日为止。暴鸦团那臭名昭著的对钱币的忠诚甚至延伸到他们最训练有素的士兵身上。然而，当看到刀舞者在行动时，雇主很少有理由抱怨，因为这些攻击者撕碎了敌人的侧翼，并在任何可能的反击前安然撤走。,S04
10410,雇佣骑士,骑士之刃,,,,被称为雇佣骑士的家伙们在世界各地寻找工作。除了武器、盔甲和马匹，这些没有土地的贵族几乎一无所有，到处被人排斥和鄙视——唯独战争时期除外。在五王之战中，各派贵族都可以雇佣五、六名这些自带兵甲、小有本领的家伙们，让他们在战场上派上些许用场。即便如此，他们的装备也很少能与真正的骑士相提并论。,2021
10411,黄金团剑士,大师工艺长剑,,,,黄金团的座右铭是众所周知的，“言出如金。”当他们被雇佣去打仗时，他们会确保在战场上花的每一分钱都是值得的。他们的剑士经过不懈的训练，让他们能够找到敌人防御的任何弱点并加以利用。与此同时，即使面临看似不可逾越的困难，他们也几乎从不逃离这个战场，这使他们成为任何能够付得起价码的人另一种可靠的投资。,S04
10412,黄金团弩手,弩,短剑,,,黄金团是自由贸易城邦最可靠的雇佣兵组织，多种兵种可供雇佣。这其中就有黄金团弩手。这些目光敏锐的战士从不浪费一矢一射。他们会坚决地等待敌人靠近到自己的完美射程，再释放他们的箭矢。这些箭矢可以轻松击穿敌人的装甲，特别是在较近的距离。任何想要加强自己力量的人都可以因雇佣他们而受益。,2021-S02
10413,黄金团战象,重踩,,*你的军队中每编入1个黄金团步兵单位才可以编入1队黄金团战象。*,,即使是最训练有素的士兵也会在看到一头巨大的战象向他们的战线逼近时感到手足无措。野蛮的黄金团战象踏着沉重的脚步进入敌阵，看上去似乎丝毫不受攻击的影响，反而用它们巨大的脚和獠牙摧毁敌人。然而，它们是头脑简单的生物，且如果附近没有驯兽师，它们可能会完全停止行动，不确定自己应该采取什么行动。,2021-S03
