Original Name,Translated Name,Translated Description,Version
Bonded Boar,建立联系-野猪,"· 本单位可以承受3点伤害，且不提供胜利分数。
· 本单位开始激活时，可以执行1次布阵行动。
· 任意回合开始时，如果本单位不在波罗区所在单位的长距离范围内，它将被摧毁。
· 本单位不能正常激活。当波罗区所在单位激活时，本单位紧随其后激活。",2021
Bonded Eagle,建立联系-鹰,每当本单位被选择时，标记1个敌方。将本卡附加至该敌方处直至回合结束，将本模型放置在该敌方托盘的附近作为标记。其他情形下无视本模型。,2021
Bonded Skinchanger,建立联系-易形者,每回合开始时，选择熊、鹰或狼。查阅该单位的卡牌了解更多的效果。,2021
Bonded Wolf,建立联系-狼,每当本单位被选择，标记1个位于易形者单位的长距离范围内的敌方。附加本卡至该敌方处直至回合结束，将本模型放至在单位的托盘附近作为标记。其他情形下无视本模型。,2021
Bookkeeping (Cortnay Penrose),记账,只要科塔奈·庞洛斯还在战场上，你的战术卡手牌上限+1。游戏开始时你拥有4张手牌，每当重新补充手牌时你可以抓取至多4张牌。,2021
Bookkeeping (Samwell Tarly),记账,只要山姆·塔利还在战场上，你的战术卡手牌上限+1。游戏开始时你拥有4张手牌，每当重新补充手牌时你可以抓取至多4张牌。,2021
Bran’s Protector,布兰的保护者,当布兰所在的单位被攻击后，本单位可以对该攻击者执行1次攻击或冲锋行动。,2021
Bravery in the Face of Death,无惧死亡,"游戏开始时艾德拥有4枚号令标记。
每当友方单位执行1次恐慌检测，在投骰后，你可以从艾德处移除1枚号令标记。如果这么做，在本次检测中，该单位可以重投任意骰子。
每当友方单位通过恐慌检测，你可以从艾德处移除1枚号令标记。如果这么做，该单位恢复2点伤害，且每被摧毁1排则恢复+1点伤害。",2021-S01
Brutal Armaments,凶残武器,"· **凶残**
· 防御者因本次攻击而遭受的恐慌检测失败时，每有1排被摧毁则遭受+1点伤害。",2021
Brutal Sadism,残暴的施虐癖,"在攻击骰投掷前，选择1项：
· 攻击获得**致命一击**
· 攻击获得**破甲**
· 防御者获得**恐慌**
本次攻击完成后，如果未能摧毁敌方1排，则攻击者遭受2点伤害。",2021
Bulwark Formation,壁垒阵型,如果本单位在本回合中未执行任何行动，则防御骰投掷结果+2。,2021
Castellan’s Duty,城主的责任,"游戏开始时庞洛斯拥有3枚号令标记。
当1个敌方NCU激活时，你可以从庞洛斯处移除1枚号令标记。如果这么做，选择2个区域。如果该NCU在本轮次中宣称这2个区域中的任何1个，在结算该区域效果前，标记任意数量的友方战斗单位。这些单位恢复D3+2点伤害*（总数）*。",2021
Cavalry,骑兵,"· 本单位的每个模型可以承受3点伤害。
· 本单位开始激活时，可以执行1次布阵行动。",2021
Champion’s Wrath,冠军的怒火,"· **致命一击**
· 敌方被本单位成功冲锋后获得**力竭**。
· 如果轮次开始时本单位与防御者处于交战状态，则投掷攻击骰前，防御者获得**脆弱**。",2021-S01
Chariot,战车,"· 本单位的每个模型可以承受6点伤害。
· 本单位开始激活时，可以执行1次布阵行动。",2021
Chieftain's Fury,酋长之怒,"· **凶残**
· 防御者无法投掷防御骰。
· 当玛格被摧毁时，在被移除前，他可以执行1次酋长之怒攻击。",2021
Choosing a Name,取个新名,每当贾坤激活时，他可以将自己的影响能力换为任意友方或敌方NCU的影响能力直到回合结束。,2021-S03
Claims to The Kingdom,对王国的宣称,每当本单位成为友方能力或战术卡的目标，皆视为控制 [CROWN] 和 [LETTER] 。,2021
Claw & Blade,利爪与刀刃,· **凶残**,2021
Cleaving Blows,顺劈重斩,"· 冲锋时，获得**致命一击**。
· 防御者无法投掷防御骰。",2021
Commander's Vassal,指挥官的属下,结算任何能力或效果时，本模型视为你的指挥官。,2021-S02
Conflicting Reactions,矛盾反应,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）*：
影响1个友方步兵单位期间：
· 如果你或你的对手控制 [CROWN] ，该单位近战攻击获得**凶残**。
· 如果你或你的对手控制 [SWORDS] ，该单位近战攻击获得**致命一击**。
· 如果你或你的对手控制 [OASIS] ，该单位+1 [MOVEMENT] 。",2021
Conviction of a True Khaleesi,卡丽熙的信念,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）*：
每当丹妮莉丝影响1个单位，即为其移除1枚状态标记。
丹妮莉丝影响1个单位期间，该单位的近战攻击可以重投任意攻击骰。",2021
Coordinated Assault,协同突击,当冲锋时，本单位每剩余1排则造成+1点命中。,2021
Counterstrike,反击,每当本单位遭受近战攻击，攻击者每有1点未命中即遭受1点命中。,2021
Counts and Measures,计数和测量,每当波文宣称1个区域时，你可以查看你的战术卡组中的前2张卡，将其中1张卡加入你的手牌，另1张放到战术卡组的底部。,2021
Crossbow,弩,"· **破甲**
· 当攻击短距离范围内的敌方时，可以重投攻击骰。",2021
Dauntless,不屈不挠,每当本单位通过士气检测，恢复1点伤害。,2021
Davos' Vassal,戴佛斯的家臣,结算任何能力或效果时，本模型视为戴佛斯·席渥斯。,2021-S02
Deadly Bloom,死亡绽放,每当本单位恢复任意点伤害，标记1个与本单位处于交战中的敌方，该敌方遭受1点伤害。,2021
Deadly Impact,致命冲击,冲锋时，获得**破甲**和**凶残**，防御者每剩余1排则+1点命中。,2021
Deceitful Envoy,诡诈的特使,"游戏开始时泰巴德拥有2枚号令标记。
当1个敌方NCU激活时，如果泰巴德未在战术版上，你可以从泰巴德处移除1枚号令标记。如果这么做，标记1个区域。
如果该NCU宣称该区域，在结算完该区域的效果后，1个敌方战斗单位获得 **脆弱 **。
如果本轮次中该NCU未宣称该区域，在该轮次结束时，泰巴德宣称该区域。",S04
Dervish Blades,刀舞者刀锋,"· **精准**
· 当攻击在本回合中未激活的敌方时，本次攻击获得**致命一击**。",2021
Direwolf,冰原狼,"· 本单位可以承受4点伤害。
· 本单位开始激活时，可以执行1次布阵行动。",2021
Disorganized,杂乱无章,本单位恐慌检测失败时遭受+1点伤害。,2021
Disrupt,扰乱,与本单位处于交战中的敌方攻击骰投掷结果-1。,2021
Disrupt Communication,扰乱联系,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）*：
影响1个敌方单位期间，你的对手不能将该单位作为战术区域效果或影响能力的目标。",2021-S03
Distract,惑乱,在你的轮次中，若敌方与本单位处于交战中，且本单位在敌方的侧翼或后方，该敌方失去所有能力且不能成为其友方战术卡的目标。,2021
Divide The Spoils,分赃,完成1次攻击后，该敌方每被摧毁1排，该敌方长距离范围内的1个拥有劫掠能力的友方单位就获得1枚**劫掠标记**。,2021
Divine Sacrifices,神圣的献祭,每当本单位攻击时，在攻击骰投掷前，可以遭受至多2点伤害。如果这样做，每遭受1点伤害，防御者获得**恐慌**或**脆弱**。,2021-S01
Dominance Of The Crown,王权的统治,本单位进行近战攻击时，如果你控制 [CROWN] ，此攻击的攻击骰投掷结果+1并获得**破甲**。,2021
Domineering Pride,骄扬跋扈,与剩余排数比本单位更少的敌方交战期间，本单位自动通过所有的恐慌检测。,2021
Dornish Conviction,多恩的审判,你控制 [CROWN] 期间，本单位攻击投掷最高攻击骰数。,2021
Dornish Vengeance,多恩的复仇,本单位遭受近战攻击后，如果你控制 [SWORDS] ，该攻击者遭受2点伤害，本单位每有1排已被摧毁则额外+1点伤害。,2021
Double Hammers,双锤,· **破甲**,2021
Dracarys!,龙焰！,"每当丹妮莉丝宣称1个区域，你可以替换该区域效果为：
1个友方**卓耿**、**雷哥**或**韦赛利昂**单位执行1次攻击行动。",2021
Drogo's Bloodriders,卓戈的血盟卫,"本单位无法获得**力竭**。
· 本单位的每个模型可以承受3点伤害。
· 本单位开始激活时，可以执行1次布阵行动。",S04
Drowned God's Fanatics,淹神狂热者,"· 本单位可以承受3点伤害。
· 本单位恐慌检测失败时，至多只受到1点伤害。
· 任何攻击或效果的每2点未格挡命中，仅会使本单位遭受1点伤害。",S04
Dual Weapons,双持武器,· **精准**,2021-S03
Dutiful Commander,尽职的指挥官,如果本单位是守夜人单位，在部署后，你可以在你的卡组中搜索1张**责任的磨砺**战术卡，并将其附加至本单位上，然后洗匀你的战术卡组。,2021
Duty to The Crown,对王冠的职责,每当本单位通过1次士气检测，恢复1点伤害。如果你控制 [CROWN] ，恢复+1点伤害。,2021
Duty To The Realms Of Men,对人类王国的责任,"每当杰奥宣称1个区域时，标记2个友方守夜人战斗单位。将1张附加中的友方战术卡从其中1个单位处移动至另1个单位处。
每场游戏限定1次，当杰奥宣称1个区域时，你可以用下述内容替换该区域的效果：
*从你的弃牌堆中拿取1张可以附加至单位处的战术卡，并将其附加至1个友方守夜人单位处。*",2021-S03
Elderly Caution,长者的慎重,"每当埃尔顿宣称1个区域时，你可以将该区域的效果替换为：
*抓取3张战术卡，然后将你手牌中的1张战术卡洗入你的战术卡组中。*",2021
Elusive Escape,鬼影迷踪,本单位可以重投任意的撤退距离骰。与本单位脱离战斗的敌方无法转向且获得**力竭**。,2021
Embolden,鼓舞,短距离范围内的友方单位的士气检测投掷结果+1。,2021
Enhanced Mobility,增强机动性,本单位获得+1 [MOVEMENT] 且可以在行军前转向。,2021
Executioner’s Axe,刽子手的斧头,"· **破甲**
· 如果本单位剩余排数比防御者更少，本次攻击获得**凶残**且防御者获得**恐慌**。",2021
Executioner's Fury,刽子手之怒,"**· 凶残**
· 防御骰只有结果为6时可格挡本次攻击的命中。
· 如果本单位仅剩1排，在本次攻击完成后，防御者获得**力竭**。",S04
Experiment Enhancements,试验型武器改良,本单位的近战攻击骰投掷结果+1且获得**凶残**。本单位攻击期间对手不能消耗本单位上的**力竭**标记。,2021
Expert Duelist,决斗专家,"每当本单位执行近战攻击时，在攻击骰投掷前，选择1项：
· 本次攻击造成+1点伤害。
· 标记防御者单位中的1个步兵附属并投掷1颗骰子。结果为5+时，摧毁该附属。",2021-S02
Expert Maintenance,专业保养,"游戏开始时唐纳拥有2枚号令标记。
每当1个单位进行攻击时，在攻击骰投掷后，你可以从唐纳处消耗1枚号令标记。如果这么做，选择1项：
· 攻击者可以重投任意攻击骰且对手无法从该单位处消耗**力竭**标记。
· 防御者的防御骰投掷结果+1且对手无法从该单位处消耗**脆弱**标记。",2021-S02
Eye Of The Crow,乌鸦之眼,"· 本单位可以承受4点伤害。
· 本单位开始激活时可以执行1次布阵或撤退行动。
· 本单位首次被摧毁后，在下一回合开始时，可以在任意侧翼桌边的短距离范围内部署本单位。",S04
"Family, Duty, Honor",家族·责任·荣誉,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）*：
每当凯特琳影响1个单位时，从该单位处移除1枚状态标记。
影响1个单位期间，该单位投掷最高攻击骰数。",2021
Fanatical Zeal,狂热,游戏开始时本单位拥有1枚**信仰标记**。每当本单位通过士气检测时，获得1枚信仰标记。每当本单位执行近战攻击，在攻击骰投掷前，可以消耗1枚信仰标记。如果这么做，本次攻击获得**精准**且可以重投任意攻击骰。,2021
Fealty to The Seven,忠于七神,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）*：
影响1个敌方期间，每当该敌方因恐慌检测失败而遭受伤害时，标记1个位于长距离范围内的友方单位。该单位恢复等量的伤害，至多3点。",2021
Fearless Avarice,无所畏惧的贪婪,你控制 [MONEY] 期间，本单位恐慌检测失败时遭受-1点伤害。,2021
Ferocious Assault,凶猛突击,敌方被本单位成功冲锋后获得**恐慌**。,S04
Fervent Conviction,最热诚的信念,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）*：
影响1个单位期间，每当该单位通过士气检测，与其交战的1个敌方遭受1点伤害。",S04
Fighter's Armaments,斗士团的武器,· **精准**,2021
Finding The Best Patron,寻找靠山,"游戏开始时雪伊拥有3枚号令标记。每当雪伊宣称1个区域时，在该区域效果结算后，从雪伊处移除1枚号令标记。
在每回合结束时，如果雪伊没有号令标记，将她摧毁。
每当雪伊宣称1个区域时，在结算该区域的效果前，选择1项：
· 1个友方单位恢复1点伤害。
· 1个敌方单位获得**力竭**。
· 雪伊获得2枚号令标记。",2021
Fire Arrows,火箭,"· **凶残**
· 如果防御者未通过恐慌检测，标记该单位短距离范围内的另1个敌方，该敌方遭受1次投掷结果-2的恐慌检测。",2021
First Claim,先拔头筹,"每当友方NCU宣称 [MONEY] 时，1个布莱克泰斯的选民获得1枚劫掠标记。
· 本单位拥有2枚劫掠标记期间，短距离范围内所有友方单位士气检测投掷结果+1，且恐慌检测失败时遭受的伤害-1。",S04
First of The King's Men,首席王党,当战术卡以本单位为目标时，你视为控制 [CROWN] *和* [LETTER] 区域。,2021
Flail,连枷,· **凶残**,S04
Frenzied Swings,疯狂挥棒,"· **破甲**
· 本单位每有1排被摧毁则攻击骰投掷结果+1。",2021-S02
Frey Ambition,佛雷的野心,"每当瓦妲宣称 [CROWN] 时， 1个敌方战斗单位获得**力竭**。
每当瓦妲宣称 [LETTER] 时， 你可以替换该区域效果为：
*搜索你的战术卡组或弃牌堆的1张**指挥官**战术卡并将其加入至你的手牌中。然后洗匀你的战术卡组。*
每当瓦妲宣称 [MONEY] 时，你可以不移除状态标记，而是改为恢复+1伤害。",2021
Fueled By Slaughter,嗜杀成性,本单位完成近战攻击后，如果防御者遭受任意点伤害，本单位恢复1点伤害，防御者每被摧毁1排则额外恢复+1点伤害。,2021
Furious Charge,狂怒的冲锋,敌方被本单位成功冲锋后获得**脆弱**。,2021
Furious Swing,狂暴挥击,"· **凶残**
· 本次攻击造成的命中无法被格挡。如果本次攻击造成任意点命中，不投掷防御骰，防御者遭受D3点伤害，且本单位每遭受1点伤害则防御者受到+1点伤害。",2021-S01
Fury of the Thenns,瑟恩之怒,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）*：
影响1个友方单位期间，该单位的近战攻击获得**破甲**，且该单位的攻击视为排数+1。",2021-S03
Gallows Humor,黑色幽默,本单位被摧毁至少1排期间，无法成为敌方号令、战术卡或NCU影响的目标。本单位仅剩1排期间，近战攻击骰投掷结果+1。,2021
Gang-Up,倚众凌寡,若与本单位交战的敌方同时与至少1个其它友方单位交战，所有友方单位对该敌方发起近战攻击时，近战攻击骰投掷结果+1且攻击骰数量+1。,2021
Giant,巨人,"· 本单位可以承受6点伤害。
· 任何攻击或效果的每2点未格挡命中，仅会使本单位遭受1点伤害。
· 本单位恐慌检测失败时，至多只受到2点伤害。",2021
Giant's Spear,巨人之矛,"**· 凶残**
**· 破甲**
· 如果防御者为骑兵、怪兽或战争器械，本次攻击每点成功视为2点命中。
· **仅远距攻击：**防御者无法投掷防御骰。可遭受攻击骰结果-3来无视视野限制并获得**无限射程**。",S04
"Gifts of Iron, Gold, and Steel",铁、金、钢的礼物,"在游戏开始时，在艾里处放置1枚**劫掠标记**。
当艾里或敌方NCU宣称 [MONEY] 时，在艾里处放置1枚**劫掠标记**。
当艾里宣称1个非 [MONEY] 区域时，你可以从他身上移除1枚**劫掠标记**，并将其放置在1个友方葛雷乔伊单位上。",2021-S03
Gifts of Silver and Bronze,银和铜的礼物,每当友方NCU宣称 [MONEY] 时，如果本单位是葛雷乔伊家族单位，则获得1枚劫掠标记。,2021-S03
Gilly's Insight,吉莉的洞察力,游戏开始时，在抓取战术卡手牌后，你可以抓取1张战术卡，然后将你手牌中的1张战术卡洗入你的战术卡组中。,S04
Go Down Fighting,共赴黄泉,每当本单位有1排被摧毁时，与之交战的1个敌方遭受1点伤害。,2021
Golden Fire,金色龙焰,"· **凶残**
· 本次攻击造成的命中无法被格挡。如果本次攻击造成任意点命中，不投掷防御骰，防御者遭受D3点伤害，每剩余1排则遭受+1点伤害，且1个位于防御者短距离范围内的敌方获得**脆弱**。",2021-S01
Gore and Feed,野猪獠牙,"· **破甲**
· 本次攻击结算后，如果造成任意点伤害，本单位恢复1点伤害。",2021
Great Axe,大斧,"· **破甲**
· 如果本单位拥有2枚劫掠标记，敌方额外遭受防御骰投掷结果-1。",2021-S03
Great Hammer,大锤,"· **致命一击**
· 如果防御者投掷防御骰结果出现1，在本次攻击结算后，防御者获得**力竭**。",2021
Greatsword,大剑,· **破甲**,2021
Halberd,长戟,· **破甲**,2021
Halfhand's Guidance,断掌的指导,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）*：
影响1个友方骑兵或步兵单位期间，该单位的攻击骰数量+1。",S04
Hand's Orders,国王之手的命令,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）：
影响1个单位期间，每当该单位被1个NCU的能力或1个战术区域标记为目标时，你可以选择取消该NCU或区域的效果。",2021-S03
Hardened,身经百战,每当敌方对本单位执行攻击时，在防御骰投掷后，本单位每有1排被摧毁则格挡1点命中。,2021-S02
Harma's Vassal,哈玛的属下,结算任何能力或效果时，本模型视为哈玛。,2021-S02
Harpoon,鱼叉,"· 在本次攻击完成后，防御者获得**力竭**。
· 在本次攻击中如果防御者遭受任意点伤害，则直至本回合结束，该单位遭受-1 [MOVEMENT] ，且如果该单位冲锋，则遭受无序的冲锋。",S04
Healing Hands,治愈之手,"每当特蕾妮宣称1个区域时，你可以标记1个友方战斗单位，该单位恢复1点伤害。
回合2开始时，选择1个战术区域。接下来的时机里1个敌方NCU宣称该区域，附加**扼杀者**毒药卡至该NCU处。
 [SKILL:Venom]",2021-S03
Heart of Fire,烈火之心,"游戏开始时本单位拥有1枚**信仰标记**。每当本单位通过士气检测时，获得1枚信仰标记。信仰标记可用于以下用途：
**· 当本单位执行近战攻击时，在攻击骰投掷前：**本次攻击投掷结果+1并获得**凶残**。
**· 在本单位完成近战攻击后：**本单位恢复1点伤害，且防御者每有1排已被摧毁则恢复+1点伤害。
**· 当本单位执行冲锋行动时，在该行动结算前：**本单位可以重投任意冲锋距离骰，且敌方被本单位成功冲锋后获得**恐慌**。",S04
Heir of House Targaryen,坦格利安家族的继承人,当丹妮莉丝被摧毁时，你的对手获得2点胜利分数。,2021
History is Written by the Victors,历史是由胜利者书写的,"**至高总管不能被激活，也不能以任何方式被标记为目标。他只是观察战斗。**
一旦胜者被确定，该玩家就可以定义整个游戏中发生的所有行动和事件。任何对手都不能反驳或否认上述事件的复述（无论多么不可能或夸张），直至他们在新的游戏中击败了胜利者。",2021
Hodor!,阿多！,该单位的近战攻击造成+1点伤害。,2021
Hodor!!!,阿多！！！,当本单位执行撤退行动，投掷撤退距离骰后，你可以将所有投掷的骰子结果视为6。如果你如此做，本附属失去所有的能力直至该游戏结束。,2021-S01
Horrific Rumors,可怕的谣言,"游戏开始时卢斯拥3枚号令标记。
当卢斯激活时，你可以从卢斯处移除1枚号令标记。
如果这么做，1个敌方战斗单位获得**恐慌**。
当卢斯宣称1个区域时，你可以替换该区域效果为：
*1个敌方战斗单位遭受1次恐慌检测。*",2021
Horrific Visage,可怖面容,每当1个敌方对本单位执行1次近战攻击，在该攻击结算前，标记攻击者，使其遭受1次恐慌检测，且本单位每剩余1排则结果-1。,2021
Hot Tempered,脾气暴躁,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）*：
影响1个友方单位期间，每当本单位遭受敌方近战攻击时，在该攻击行动结算后，攻击者遭受1点命中，防御者每剩余1排则额外+1点命中。",2021-S03
House of The Undying,不朽之殿,"每当俳雅·菩厉宣称1个区域时，你可以将该区域效果替换为：
*你的对手必须展示所有战术卡手牌。*
*然后，你的对手必须从手牌中随机丢弃1张战术卡 。*
每场游戏限定1次，当俳雅·菩厉宣称 [UNDYING] 时，你可以将该区域效果替换为：
*将1张战术卡从你的弃牌堆返还至你的手牌。*",2021-S03
Hrakkars & Tamers,赫拉卡与驯兽师,"· 本单位可以承受6点伤害。
· 本单位开始激活时，可以执行1次布阵行动。",2021
Hunter's Guile,猎人的诡计,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）：*
影响1个敌方单位期间，该单位将所有地形均视为带有“阻碍”关键词。
影响1个敌方单位期间，当该敌方执行近战攻击，在该行动结算前，你可以从该单位处移除本卡。如果这么做，该攻击的攻击骰投掷结果-1。",S04
Illyrio's Boon,伊利里欧的馈赠,"游戏开始时伊利里欧拥2枚号令标记。
当伊利里欧宣称1个区域时，你可以从伊利里欧处移除1枚号令标记。如果这么做，替换该区域效果为：
*标记1个友方战斗单位。该单位恢复3点伤害。与该单位处于交战中的1个敌方获得 **力竭 **。*",S04
Impaling Spear,穿刺之矛,本次攻击完成后，如果摧毁敌方1排，则位于攻击者短距离范围内的所有敌方获得**恐慌**。,2021
Improved Armaments,强化武器,你控制 [MONEY] 期间，本单位的近战攻击获得**破甲**且投掷最高攻击骰数。,2021
Improved Defenses,强化防御,你控制 [MONEY] 期间，本单位的防御骰投掷结果+1。,2021
In R'hllor's Name,以拉赫洛的名义,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）*：
每当亚塞尔影响1个敌方单位时，该单位获得**恐慌**。
影响友方单位期间，每当该单位执行近战攻击，在攻击骰投掷前，防御者获得**脆弱**。",S04
Indomitable,势不可挡,本单位无法获得**力竭**。,2021-S03
Insignificant,微不足道,本单位不会因**通过战斗获得胜利**产生胜利分数。,2021
Inspiring Presence,振奋人心,本单位士气值修正为5+。,2021
Interrogate,审问,每当本单位用近战攻击摧毁1个敌方单位，你可以查看对手手牌上的战术卡然后弃置其中1张卡。,2021
Intimidating Presence,令人生畏的存在,与本单位交战的敌方遭受士气检测投掷结果-1，且恐慌检测失败时遭受+1点伤害。,2021
Intimidation Of The Crown,王权威慑,如果你控制 [CROWN] ，当本单位执行近战攻击时，在攻击骰投掷前，防御者获得**恐慌**和**力竭**。,2021
Intrigue and Subterfuge,阴谋与诡计,每场游戏限定1次，当1个敌方NCU激活时，该NCU失去所有能力直至回合结束。,2021-S03
Iron Credit,铁的声望,"每当1个位于短距离范围内的友方单位获得劫掠标记时，放置1枚号令标记在本卡上。在本单位执行近战攻击前，你可以弃置本卡上至多2枚号令标记以获得下述效果（效果可以累计）：
· **1+：**你可以移除本单位的1枚状态标记。
· **2：**本单位投掷最高攻击骰数。",2021
Iron Resolve,钢铁意志,本单位的恐慌检测投掷结果+1且恐慌检测失败时遭受的伤害-1。,2021
Ironborn Arrows,铁种箭头,当攻击敌方的侧翼或后方时，可以重投攻击骰。,2021
