Original Name,Translated Name,Translated Description,Version
Berserker Axes,狂戰士之斧,依據此單位折損排數獲得命中結果+1。,2021
Berserker's Fervor,狂戰士狂熱,依據此單位已被殲滅排數，此單位獲得防禦骰及士氣檢定投擲結果+1。,S04
Black Fire,黯黑龍焰,• **兇狠**• 此單位的命中無法格擋。若此攻擊造成**任何**命中，防禦者不能投擲防禦骰，而是承受Ｄ３點傷害，並依據防禦者剩餘排數承受+1點傷害，同時防禦者短距離內的１個敵方單位承受**恐慌**。,2021-S01
Blade and Fang,尖牙與利刃,•** 兇狠**,2021
Bloodrider,血盟衛,此單位不會承受**力竭**。,2021
Bloodriders' Arakh,血盟衛的彎刀,"• **破甲**
• **兇狠**",S04
Boisterous Charisma,喧鬧的魅力,此單位永遠不會成為敵方號令，戰術卡或敵方NCU影響力的目標對象。,2021
Boldness and Courage,剛毅勇猛,每當此單位執行攻擊，若滿排獲得+1攻擊骰。否則，攻擊骰數視作+1排數。,2021
Bolt Thrower,弩箭投射器,• **兇狠**• 此單位的距離和視野從單位移動底盤任意位置進行量測。• 可以承受命中骰投擲結果-3並且忽略視野以及獲得**無限距離**。• 防禦者無法投擲防禦骰。• 若防守者是騎兵、生物，以及戰爭器械單位，此次攻擊每個成功會造成2點命中。,2021-S03
Bonded Bear,締結的熊,"• 此單位可以承受４點傷害且不具備任何勝利分數。
• 若此單位被殲滅，其不能再次被易形者選擇。
• 若此單位被選擇，每當牠締結的易形者啟動時，將他已接戰形式放置在1個與其締結易形者接戰的敵方單位面或側翼。接著執行1次近戰攻擊行動。回合結束時將此單位移除。",2021
Bonded Boar,締結的野豬,"• 此單位可以承受3點傷害且不具備任何勝利分數。
• 此單位的啟動開始前可以執行１次佈陣行動。
• 任意回合開始時，若此單位不再波羅區的長距離範圍內，其會潰敗。
• 此單位不適用正常的啟動方式，當波羅區的單位啟動時，此單位可以在其後立即接續啟動。",2021
Bonded Eagle,締結的老鷹,"每當此單位被選擇時，標記１個敵方單位。
將此卡附屬至該敵方
單位直至此回合結束，將此模型放置靠近在該單位的底盤邊作為標記。
其餘效果不能以此模型為選擇目標。",2021
Bonded Skinchanger,締結的易形者,任意回合開始時，選擇熊、老鷹，或是狼。查閱該單位卡片上的額外效果。,2021
Bonded Wolf,締結的狼,"每當此單位被選擇，標記其締結易形者單位長距離內的１個敵方單位。
將此卡附屬至該敵方單位直至此回合結束，將此模型放置靠近在該單位的底盤邊作為標記。
其餘效果不能以此模型為選擇目標。",2021
Bookkeeping (Cortnay Penrose),書記官,"每當柯塔奈‧龐洛斯在戰場上時，你的戰術卡手牌上限+1。
你在遊戲一開始時會擁有４張手牌，且補充手牌時可以抽到４張。",2021
Bookkeeping (Samwell Tarly),書記官,"每當山姆威爾‧塔利在戰場上時，你的戰術卡手牌上限+1。
你在遊戲一開始時會擁有４張手牌，且補充手牌時可以抽到４張。",2021
Bran’s Protector,布蘭的保護者,當布蘭•史塔克的單位被攻擊後，此單位可以對攻擊者執行1次攻擊或衝鋒行動。,2021
Bravery in the Face of Death,無懼死亡的勇氣,"艾德在遊戲開始時擁有4枚號令標記。
每當友方單位執行恐慌檢測，擲骰後，你可以移除艾德的1枚號令標記。若你如此做，該單位可以重新投擲該次檢測的任意骰子。
每當友方單位通過恐慌檢測，你可以移除艾德的1枚號令標記。
若你如此做，該單位回復2點傷害，並依據已被殲滅的排數回復+1點傷害。",2021-S01
Brutal Armaments,野蠻軍械,"• **兇狠**
• 防守者在這次攻擊造成的恐慌檢測失敗時依據自身折損排數承受+1點傷害。",2021
Brutal Sadism,殘暴虐待狂,"攻擊骰投擲前，選擇1項：
• 攻擊獲得**致命一擊**
• 攻擊獲得**破甲**
• 防守者承受**恐慌**
此次攻擊完成後，若沒有殲滅敵人排數，則攻擊者承受２點傷害。",2021
Bulwark Formation,壁壘陣勢,若此單位此回合沒有執行行動，則獲得防禦骰投擲結果+2。,2021
Castellan’s Duty,城主的職責,"科塔奈在遊戲開始時擁有３枚號令標記。

每當敵方ＮＣＵ啟動時，
你可以從柯塔奈移除１枚號令標記，
若你如此做，選擇２個戰術區域。

若該ＮＣＵ宣告其中任意個戰術區域，
在對方結算該戰術區域效果前，
標記任意數量的友方單位。
回復那些單位Ｄ３＋２*(總共)*的傷害。",2021
Cavalry,騎兵,"• 此單位的每個模型可以承受3點傷害。
• 此單位的啟動開始前可以執行1次佈陣行動。",2021
Champion’s Wrath,冠軍之怒,"• **致命一擊**• 受此單位成功衝鋒的敵方單位承受**力竭**。
 • 若此單位在此輪次開始時與防守者交戰，攻擊骰投擲前，防守者承受**脆弱**。",2021-S01
Chariot,戰車,"• 此單位可以承受6點傷害。
• 此單位的啟動開始前可以執行1次佈陣行動。",2021
Chieftain's Fury,酋長之怒,"• **兇狠**
• 防守者不能投擲防禦骰。
• 當瑪格被殲滅時，移除前，他可以執行1次酋長之怒攻擊。",2021
Choosing a Name,選擇一個名字,每當賈昆啟動時，他可以將他的影響力能力替換成任意友方或敵方NCU的影響力能力，直至該回合結束。,2021-S03
Claims to The Kingdom,王國的宣稱,每當此單位作為友方戰術卡或能力的目標對象時，皆視作控制[CROWN]和[LETTER]。,2021
Claw & Blade,利爪與刀刃,• **兇狠**,2021
Cleaving Blows,劈裂斬擊,"• **衝鋒時，獲得**致命一擊**。
•防守者不能投擲防禦骰。",2021
Commander's Vassal,指揮官的從屬,結算所有遊戲效果時，此模型視作你的指揮官。,2021-S02
Conflicting Reactions,矛盾反應,"**影響力** *(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)*: 

影響友方步兵單位期間：
• 若你或你的對手控制 [CROWN]，該單位近戰攻擊獲得**兇狠**。
• 若你或你的對手控制 [SWORDS]，該單位近戰攻擊獲得**致命一擊**。
• 若你或你的對手控制 [OASIS]，該單位獲得+1 [MOVEMENT]。",2021
Conviction of a True Khaleesi,卡麗熙的信念,"**影響力***(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)* :

每當丹妮莉絲影響單位時，
從該單位移除１枚狀態標記。

影響單位期間，
該單位的近戰攻擊總是可以重擲任意攻擊骰。",2021
Coordinated Assault,協同攻擊,衝鋒時，依據此單位剩餘排數造成+1點命中。,2021
Counterstrike,反擊,每當此單位承受近戰攻擊時，每有1點未命中則攻擊者承受1點命中。,2021
Counts and Measures,計算與量測,每當波文宣告戰術區域時，你可以看你戰術卡堆最上面的２張卡。將其中１張加入你的手牌，並將另一張放回你的戰術卡堆底部。,2021
Crossbow,十字弩,"• **破甲**
• 攻擊短距離內的敵方時可以重擲攻擊骰。",2021
Dauntless,無所畏懼,每當此單位通過士氣檢測時，回復1點傷害。,2021
Davos' Vassal,戴佛斯的從屬,結算所有遊戲效果時，此模型視作戴佛斯˙席渥斯。,2021-S02
Deadly Bloom,死亡綻放,每當此單位回復傷害時，標記1個與之接戰的敵方單位。他們承受1點傷害。,2021
Deadly Impact,絕死衝擊,衝鋒時，獲得**破甲**及**兇狠**，且依據防守者剩餘排數造成+1命中。,2021
Deceitful Envoy,詭詐的使者,"泰巴德在遊戲開始時擁有2枚號令標記。
每當敵方NCU啟動，若泰巴德不再戰術版上，你可以從泰巴德移除1枚號令標記。若你如此做，標記1個戰術區域。
若該NCU宣告該區域，在執行該區域效果後，1個敵方戰鬥單位承受**脆弱**。
若該NCU該輪次沒有宣告該區域，在該輪次結束時，泰巴德宣告該戰術區域。",S04
Dervish Blades,劍舞者利刃,"•**精準**
•攻擊此回合尚未啟動的敵方單位時，此次攻擊獲得**致命一擊**。",2021
Direwolf,冰原狼,"• 此單位可以承受4點傷害。
• 此單位的啟動開始前可以執行1次佈陣行動。",2021
Disorganized,雜亂無章,此單位恐慌檢測失敗時承受+1點傷害。,2021
Disrupt,擾敵,與此單位交戰的敵方單位承受命中結果-1。,2021
Disrupt Communication,擾亂通信,"**影響力** *(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位
直至該回合結束)*: 

影響敵方單位期間，你的對手不能夠將該單位作為戰術區域或是影響力能力的目標對象。",2021-S03
Distract,分散注意力,你的輪次時，被此單位側翼或背後接戰的敵方單位失去所有能力且不能夠成為友方戰術卡的目標對象。,2021
Divide The Spoils,瓜分戰利品,攻擊完成後，依據殲滅敵方單位的排數，１個該敵方單位長距離範圍內擁有劫掠能力的有方單位獲得１枚劫掠標記。,2021
Divine Sacrifices,神聖的犧牲,"每當此單位攻擊，攻擊骰投擲前，該單位可以承受至多２點傷害。
 若你如此做，依據每點承受的傷害，防守者承受**恐慌**或**脆弱**。",2021-S01
Dominance Of The Crown,王權的主宰,若你控制[CROWN]，每當此單位執行近戰攻擊，此次攻擊獲得命中結果+1以及**破甲**。,2021
Domineering Pride,橫行跋扈,與剩餘排數較少的敵人交戰期間，此單位自動通過所有的恐慌檢測。,2021
Dornish Conviction,多恩的信念,你控制[CROWN]期間，此單位攻擊可以最高骰數投擲。,2021
Dornish Vengeance,多恩的復仇,此單位承受近戰攻擊後，若你控制[SWORDS]，該攻擊單位承受2點傷害，依據此單位已被殲滅排數則額外+1點傷害。,2021
Double Hammers,雙戰鎚,•**破甲**,2021
Dracarys!,龍焰!,"每當丹妮莉絲宣告戰術區域時，
你可以將戰術區域效果替換成：

*１個友方的**卓耿**、**雷哥**、或**韋賽里昂**單位可以１次攻擊行動。*",2021
Drogo's Bloodriders,卓戈的血盟魏,"• 此單位不會承受**力竭**。
• 此單位的每個模型可以承受3點傷害。
• 此單位的啟動開始前可以執行1次佈陣行動。",S04
Drowned God's Fanatics,淹神的狂熱者,"• 此單位可以承受3點傷害。
• 此單位恐慌檢測失敗時最多只會承受1點傷害。
• 此單位對任何攻擊或效果造成的每2個未格擋命中僅會承受1點傷害。",S04
Dual Weapons,決鬥武器,• **精準**,2021-S03
Dutiful Commander,盡責的指揮官,若此單位是守夜人單位，部屬後，你可以從你的戰術卡堆中搜尋１張**責任的淬鍊**戰術卡並附屬在此單位上。洗勻你的戰術卡堆。,2021
Duty to The Crown,對王權的責任,每當此單位通過士氣檢測，其恢復1點傷害。若你控制[CROWN]，回復+1點傷害。,2021
Duty To The Realms Of Men,對國民的責任,"每當傑奧宣告戰術區域，你可以標記2個友方守夜人戰鬥單位。將其中1個友方的1張附屬卡移到另一個單位。

一局遊戲一次，當傑奧宣告戰術區域時，你可以將該區域效果替換成：
*從你的棄牌堆中拿回1張可以附屬到單位的戰術卡，並附屬到一個友方守夜人單位上。*",2021-S03
Elderly Caution,長者的謹慎,"每當埃爾頓宣告戰術區域，
你可以將該戰術區域效果替換成：

抽取３張戰術卡，接著將你手牌中的１張卡洗回你的戰術卡堆。",2021
Elusive Escape,動如脫兔,"此單位可以重擲任意的撤退距離骰。與此單位脫離戰鬥的敵方單位無法轉向且
承受**力竭**。",2021
Embolden,壯大聲勢,短距離範圍內友方單位的士氣檢測投擲結果+1。,2021
Enhanced Mobility,機動強化,此單位獲得+1 MOVEMENT，且行軍前可以轉向。,2021
Executioner’s Axe,處刑戰斧,"• **破甲**
•若此單位的剩餘排數少於防守者，此次攻擊獲得**兇狠**，且防守者承受**恐慌**。",2021
Executioner's Fury,行刑者怒火,"•**兇狠**
•此攻擊只有防禦骰擲出6才可以格擋。
•若此單位只剩下1排，此次攻擊結束後，防守者承受**力竭**。",S04
Experiment Enhancements,經驗老到,此單位的近戰攻擊獲得命中結果+1，以及**兇狠**。此單位執行攻擊時，對手不能夠從此單位消費**力竭**。,2021
Expert Duelist,決鬥高手,每當此單位執行近戰攻擊時，攻擊骰投擲前，選擇１項•此次攻擊造成+1點傷害。•標記防守單位的１個步兵單位附屬並投擲１顆D6骰。擲出５＋，則殲滅該附屬。,2021-S02
Expert Maintenance,維護專家,"唐納在遊戲開始時擁有２枚號令標記。
每當單位執行攻擊時，攻擊擲骰後，你可以從唐納移除１枚號令標記。
若你如此做，選擇１項：
•攻擊者可以重擲任意攻擊骰，且對手不能夠消耗他們的**力竭**標記。
•防禦者獲得防禦骰投擲結果+1，且對手不能夠消耗他們的**脆弱**標記。",2021-S02
Eye Of The Crow,群鴉之眼,"• 此單位可以承受4點傷害。
• 此單位的啟動開始前可以執行1次佈陣或撤退行動。
• 單位首次被殲滅時，在下一回合開始時，你可以將其重新部屬在任意側翼桌緣的短距離範圍內。",S04
"Family, Duty, Honor",家族、責任、榮譽,"**影響力** *(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)*:

每當凱特琳影響單位，從該單位移除1枚狀態標記。
影響單位期間，該單位的攻擊總是可以投擲最高骰數。",2021
Fanatical Zeal,盲信的狂熱,此單位遊戲開始時有1枚**信仰標記**。每當此單位通過士氣檢測，獲得1枚信仰標記。每當此單位執行近戰攻擊，攻擊骰投擲前，其可以消費1枚信仰標記。若其如此做，此次攻擊獲得**精準**，且可以重擲任意攻擊骰。,2021
Fealty to The Seven,忠於七神,"**影響力** *(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)*:

當影響敵方單位期間，
每當該敵方恐慌檢測失敗承受傷害時，標記1個長距離範圍內的友方單位。他們回復等量的傷害，至多3點。",2021
Fearless Avarice,無畏的貪婪,你控制[MONEY]期間，此單位恐慌檢測敗時承受的傷害-1點。,2021
Ferocious Assault,兇猛突襲,被此單位成功衝鋒的敵方單位承受**恐慌**。,S04
Fervent Conviction,灼熱信念,"**影響力** *(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)*:

當影響單位期間，每當該單位通過士氣檢測時，１個與之接戰的敵方單位承受１點傷害。",S04
Fighter's Armaments,鬥士的武裝,• **精準**,2021
Finding The Best Patron,尋找最佳的庇護人,"雪伊在遊戲開始時擁有3枚號令標記。
每當雪伊宣告戰術區域時，執行戰術區域效果後，從雪伊移除１枚號令標記。
回合結束時，若雪伊沒有任何的號令標記，殲滅雪伊。

每當雪伊宣告戰術區域時，執行戰術區域效果前，選擇１項：
•回復1個友方單位1點傷害。
•1個敵方單位承受**力竭**。
•雪伊獲得2枚號令標記。",2021
Fire Arrows,火焰箭矢,"‧**兇狠**
‧若防守者恐慌檢測失敗，標記該
  單位短距離範圍內的另1個敵方單位。
  該單位承受１次擲骰結果-2的恐慌檢測。",2021
First Claim,首次索賠,"每當友方NCU宣告[MONEY]，1個黑潮精銳戰士單位獲得1枚劫掠標記。
當此單位有2枚劫掠標記，所有短距離範圍內的友方單位獲得士氣檢測結果+1，且恐慌檢測失敗時-1點傷害。",S04
First of The King's Men,首席王黨騎士,"此單位作為戰術卡對象時，你總是視
作控制 [CROWN]與 [LETTER]。",2021
Flail,軍用鏈枷,• **兇狠**,S04
Frenzied Swings,狂亂揮擊,•**破甲**•依據此單位已被殲滅排數獲得命中結果+1。,2021-S02
Frey Ambition,佛雷的野心,"每當瓦妲宣告[CROWN]，1個敵方戰鬥單位承受**力竭**。
每當瓦妲宣告[LETTER]，你可以將該區域效果替換成：
*從你的戰術卡堆或棄牌堆搜尋1張**指揮官**戰術卡並加入你的手牌中。洗勻你的戰術卡堆。
每當瓦妲宣告[MONEY]，你可以恢復+1點傷害，而不是移除狀態標記。",2021
Fueled By Slaughter,嗜殺成性,此單位完成近戰攻擊後，若防守者承受任意點傷害，此單位回復１點傷害，並依據防禦單位每被殲滅排數回復＋１點傷害。,2021
Furious Charge,狂怒衝鋒,受此單位成功衝鋒的的方單位承受**脆弱**。,2021
Furious Swing,狂怒揮擊,•**兇狠**•此攻擊造成的命中無法格擋。若此攻擊造成任意命中，防禦者承受Ｄ３點傷害而不是投擲防禦骰，並依據此單位已承受的傷害造成＋１點傷害。,2021-S01
Fury of the Thenns,瑟恩人的怒火,"**影響力** *(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)*:

當影響友方單位期間，該單位近戰攻擊獲得**破甲**，且攻擊骰數視作+1排。",2021-S03
Gallows Humor,絞架幽默,"每當此單位至少有1排被殲滅排數時，他永遠不會成為敵方號令、戰術卡，或是敵方NCU影響的目標對象。
當僅剩1排時，其近戰攻擊獲得命中結果+1。",2021
Gang-Up,聯合突襲,所有的友方單位對與此單位接戰的敵方單位執行近戰攻擊時，獲得命中結果+1，以及+1攻擊骰。至少得有另一友方單位同時接戰。,2021
Giant,巨人,"• 此單位可以承受6點傷害。
• 此單位對任何攻擊或效果造成的每2個未格擋命中僅會承受1點傷害。
• 此單位恐慌檢測失敗時最多只會承受2點傷害。",2021
Giant's Spear,巨人之矛,"•**兇狠**
•**破甲**
•**若防守者是騎兵、生物，以及戰爭器械單位，此次攻擊每個成功會造成2點命中。**
•**遠程限制:** 防守者不能投擲防禦骰。可以承受命中骰投擲結果-3並且忽略視野以及獲得**無限距離**。",S04
"Gifts of Iron, Gold, and Steel",純鐵、黃金或精鋼的贈禮,"遊戲開始時，放置1枚劫掠標記在艾里上。
每當艾里或敵方NCU宣告 [MONEY]，放置1枚劫掠標記給艾里。
每當艾里宣告[MONEY]以外的戰術區域時，你可以從他移除1枚劫掠標記，並放置給1個友方葛雷喬伊單位。",2021-S03
Gifts of Silver and Bronze,白銀和青銅的贈禮,每當友方NCU宣告[MONEY]，此單位獲得1枚劫掠標記。,2021-S03
Gilly's Insight,吉莉的洞察力,遊戲開始時，抽完戰術卡後，你可以再抽1張戰術卡，並將手中的1張卡洗回你的戰術卡堆。,S04
Go Down Fighting,奮戰不怠,"每當此單位有一排被殲滅，１個
與之交戰的敵方單位承受１點傷害。",2021
Golden Fire,金黃龍焰,• **兇狠**• 此單位的命中無法格擋。 若此攻擊造成**任何**命中，防禦者不能投擲防禦骰，而是承受Ｄ３點傷害，並依據防禦者剩餘排數承受+1點傷害，同時防守者短距離內的１個敵方單位承受**脆弱**。,2021-S01
Gore and Feed,頂穿與哺食,"•**破甲**
•此次攻擊完成後，若其造成任意點傷害，此單位回復１點傷害。",2021
Great Axe,破甲大斧,• **破甲**• 若此單位擁有2枚劫掠標記，敵方額外承受防禦骰投擲結果-1。,2021-S03
Great Hammer,戰鬥巨鎚,"•**破甲**
•若防守者防禦骰擲出任意的1，此次攻擊完成後，防守者承受**力竭**。",2021
Greatsword,雙手巨劍,•**破甲**,2021
Halberd,軍用戰戟,•**破甲**,2021
Halfhand's Guidance,斷掌的指引,"**影響力** *(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)*:

當影響友方騎兵或步兵單位期間，
該單位獲得＋１攻擊骰",S04
Hand's Orders,國王之手的號令,"**影響力** *(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)*:

當影響單位期間，每當該單位作為NCU能力或戰術區域目標對象時，你可以取消該NCU或戰術區域的效果。",2021-S03
Hardened,堅韌的,每當敵方對此單位執行攻擊時，防禦骰投擲後，此單位依據已被殲滅的排數格擋１點命中。,2021-S02
Harma's Vassal,哈瑪的從屬,結算所有遊戲效果時，此模型視作哈瑪。,2021-S02
Harpoon,魚叉,"•此次攻擊結束後，防禦者承受**力竭**。
•若防守者在此次攻擊有承受任意點傷害，直至此回合結束，他們承受-1[MOVEMENT] ，同時若他們有執行衝鋒，還會承受散漫的衝鋒。",S04
Healing Hands,治癒之手,"每當特蕾妮宣告戰術區域，你可以標記1個友方戰鬥單位。他們回復1點傷害。
第2回合開始時，選擇1個戰術區域。
下一次敵方NCU宣告該區域時，將**扼殺者**毒藥卡附屬到該NCU上。
[SKILL:Venom]",2021-S03
Heart of Fire,火焰之心,"此單位在遊戲開始時擁有１枚信仰標記。每當此單位通過士氣檢測，其可以獲得１枚信仰標記。信仰標記可以依據下述情形來消費使用：

**‧每當與此單位執行近戰擊，攻擊骰投擲前:**
此次攻擊獲得命中結果+1及**兇狠**。

**‧當此單位完成近戰攻擊後:**
此單位回復1點傷害，並依據防守者已被殲滅排數回復+1點傷害。

**‧當此單位執行衝鋒行動時，結算該行動前：
此單位可以重擲任意衝鋒距離骰，且被此單位成功衝鋒的敵方單位承受**恐慌**。",S04
Heir of House Targaryen,坦格利安家族繼承者,當丹妮莉絲被殲滅時，你的對手獲得+2勝利分數。,2021
History is Written by the Victors,歷史由勝利者撰寫,"**至高總管不能夠透過任何方式啟動或是標記。他只是在旁觀察這場戰爭。**
一旦勝利者誕生，該玩家可以自行定義整個遊戲過程中發生的所有行動和事件。對手不能夠反駁或是否定這些被闡述的事件*(不論多麼的荒誕與誇大)*，直至他們在下一次新的遊戲中擊敗勝利者。",2021
Hodor!,阿多!,此單位近戰攻擊造成+1點傷害。,2021
Hodor!!!,阿多!!!,當此單位執行撤退行動時，撤退距離骰投擲後，你可以將擲出點數結果視為6。若你如此做，此附屬失去所有能力直至此局遊戲結束。,2021-S01
Horrific Rumors,駭人聽聞,"盧斯在遊戲開始時擁有３枚號令標記。
每當盧斯波頓啟動時，
你可以將１枚號令標記從他身上移除，若你如此做，
１個敵方戰鬥單位承受**恐慌**。

每當盧斯宣告戰術區域時，
你可以將該區域的效果替換成：

**１個敵方戰鬥單位執行１次恐慌檢測。**",2021
Horrific Visage,駭人容貌,"每當敵方單位對此單位執行近戰攻擊時，
結算該次攻擊前，標記該攻擊者。
攻擊者承受１次恐慌檢測，並依據此單
位剩餘排數造成投擲結果-1。",2021
Hot Tempered,性如烈火,"**影響力** *(每當此單位宣告戰術區域時，將此卡附屬至1個戰鬥單位直至該回合結束)*:

影響友方單位期間，每當敵方近戰攻擊該單位，在該攻擊行動結算後，攻擊者承受1點命中，並依據防守者剩餘排數額外+1點命中。",2021-S03
House of The Undying,不朽神殿,"每當俳雅˙菩厲宣告戰術區域時，你可以將該戰術區域效果替換成：

*你的對手必須展示他們手中所有的戰術卡。*
*接著，你的對手必須棄置1張手中的戰術卡*

一局遊戲一次，當俳雅˙菩厲宣告[UNDYING]時，你可以將該戰術區域效果替換成：

*將1張棄牌堆的卡返回你的手中。*",2021-S03
Hrakkars & Tamers,赫拉卡與馴獅隊,"• 此單位可以承受6點傷害。
• 此單位啟動開始時，可以執行1次佈
陣行動。",2021
Hunter's Guile,獵人的詭計,"**影響力***(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)* :

當影響敵方單位期間，同時該單位面對所有地形都視作具有阻礙和崎嶇的關鍵字。

當影響敵方單位期間，當該單位執行近戰攻擊，結算該行動前，你可以將此卡從該單位移除，若你如此做，該單位承受攻擊命中結果-1，",S04
Illyrio's Boon,伊利里歐的支持,"伊利里歐在遊戲開始時擁有2枚號令標記。
每當伊利里歐宣告戰術區域時，你可以移除他的1枚號令標記。若你如此做，將該戰術區域效果替換成：

*標記１個友方戰鬥單位。他們回復３點傷害。1個與之交戰的敵方單位承受**力竭**。",S04
Impaling Spear,穿刺長矛,此次攻擊結束後，若有殲滅敵方一排，所有攻擊者短距離範圍內的敵方單位承受 **恐慌**。,2021
Improved Armaments,軍備改良,當你控制[MONEY]，此單位的近戰攻擊獲得**破甲**，且總是可以用最高骰數進行攻擊。,2021
Improved Defenses,防禦強化,當你控制[MONEY]，此單位獲得防禦骰投擲結果+1。,2021
In R'hllor's Name,以拉赫洛之名,"***影響力** (每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)*:

每當亞賽爾影響敵方單位期間，他們承受**恐慌**。

影響友方單位期間，每當他們執行近戰攻擊，攻擊骰投擲前，防守者承受**脆弱**。",S04
Indomitable,無法支配的,此單位不會承受**力竭**。,2021-S03
Insignificant,微不足道,此單位在戰鬥中不具備任何的勝利分數。,2021
Inspiring Presence,振奮人心,此單位初始士氣值為5+。,2021
Interrogate,里斯水手長,每當此單位用近戰攻擊殲滅一個敵人，你可以查看對手手牌中的戰術卡，並且棄置其中的1張卡。,2021
